Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Capturas 1,10:09:24,736,7,Off,---,---,---,
Capturas 1,10:09:49,736,9,Off,---,---,---,
Capturas 1,10:10:14,736,4,Off,---,---,---,
Capturas 1,10:10:39,737,4,Off,---,---,---,
Capturas 1,10:11:04,736,6,Off,---,---,---,
Capturas 1,10:11:29,737,7,Off,---,---,---,
Capturas 1,10:11:54,736,9,Off,---,---,---,
Capturas 1,10:12:23,---,---,---,---,---,---,
Capturas 1,10:12:46,736,9,Off,---,---,---,
Capturas 1,10:13:10,738,1,Off,---,---,---,
Capturas 1,10:13:35,736,6,Off,---,---,---,
Capturas 1,10:13:59,736,6,Off,---,---,---,
Capturas 1,10:14:23,736,6,Off,---,---,---,
Capturas 1,10:14:48,737,0,Off,---,---,---,
Capturas 1,10:15:13,737,1,Off,---,---,---,
Capturas 1,10:15:38,737,1,Off,---,---,---,
Capturas 1,10:16:03,736,7,Off,---,---,---,
Capturas 1,10:16:28,736,5,Off,---,---,---,
Capturas 1,10:16:53,736,9,Off,---,---,---,
Capturas 1,10:17:18,737,1,Off,---,---,---,
Capturas 1,10:17:43,736,9,Off,---,---,---,
Capturas 1,10:18:08,737,2,Off,---,---,---,
Capturas 1,10:18:33,737,3,Off,---,---,---,
Capturas 1,10:19:00,736,9,Off,---,---,---,
Capturas 1,10:19:25,740,0,Off,---,---,---,
Capturas 1,10:19:51,737,3,On,---,---,---,
Capturas 1,10:20:15,737,5,Off,---,---,---,
Capturas 1,10:20:43,---,---,---,---,---,---,
Capturas 1,10:21:07,737,4,---,---,---,---,
Capturas 1,10:21:32,737,0,Off,---,---,---,
Capturas 1,10:21:58,737,2,Off,---,---,---,
Capturas 1,10:22:22,736,9,Off,---,---,---,
Capturas 1,10:22:51,---,---,---,---,---,---,
Capturas 1,10:23:14,736,7,Off,---,---,---,
Capturas 1,10:23:42,---,---,---,---,---,---,
