Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Cabecera altura,22:57:03,---,---,---,---,---,---,
Cabecera altura,22:57:23,605,8,---,---,---,---,
Cabecera altura,22:57:45,---,99,6,---,---,---,
Cabecera altura,22:58:09,1985,1,99,6,---,---,
Cabecera altura,22:58:29,---,---,---,---,---,---,
Cabecera altura,22:58:52,1983,5,99,4,---,---,
Cabecera altura,22:59:13,---,---,---,---,---,---,
Cabecera altura,22:59:34,1189,4,---,---,---,---,
Cabecera altura,22:59:55,---,99,5,---,---,---,
Cabecera altura,23:00:17,1350,5,---,---,---,---,
Cabecera altura,23:00:38,---,---,---,---,---,---,
Cabecera altura,23:00:59,1984,6,99,5,---,---,
Cabecera altura,23:01:19,---,---,---,---,---,---,
Cabecera altura,23:01:41,158,3,---,---,---,---,
Cabecera altura,23:02:04,---,99,6,---,---,---,
Cabecera altura,23:02:24,689,6,---,---,---,---,
Cabecera altura,23:02:48,---,99,5,---,---,---,
Cabecera altura,23:03:09,---,---,---,---,---,---,
Cabecera altura,23:03:31,699,3,---,---,---,---,
Cabecera altura,23:03:54,---,---,---,---,---,---,
Cabecera altura,23:04:15,794,1,---,---,---,---,
Cabecera altura,23:04:36,---,---,---,---,---,---,
Cabecera altura,23:04:57,1985,2,99,5,---,---,
Cabecera altura,23:05:19,1985,0,99,6,---,---,
Cabecera altura,23:05:41,---,---,---,---,---,---,
Cabecera altura,23:06:01,---,---,---,---,---,---,
Cabecera altura,23:06:23,1859,1,30,4,---,---,
Cabecera altura,23:06:48,---,---,---,---,---,---,
Cabecera altura,23:07:10,1983,5,---,---,---,---,
Cabecera altura,23:07:30,---,---,---,---,---,---,
Cabecera altura,23:07:52,1983,4,99,5,---,---,
Cabecera altura,23:08:14,---,---,---,---,---,---,
Cabecera altura,23:08:35,1859,6,---,---,---,---,
Cabecera altura,23:08:56,---,---,---,---,---,---,
Cabecera altura,23:09:20,---,---,---,---,---,---,
Cabecera altura,23:09:45,---,---,---,---,---,---,
Cabecera altura,23:10:03,134,6,---,---,---,---,
Cabecera altura,23:10:25,---,99,5,---,---,---,
Cabecera altura,23:10:45,1421,7,---,---,---,---,
Cabecera altura,23:11:05,---,---,---,---,---,---,
Cabecera altura,23:11:27,1984,7,99,5,---,---,
Cabecera altura,23:11:50,---,---,---,---,---,---,
Cabecera altura,23:12:12,2790,2,---,---,---,---,
Cabecera altura,23:12:34,---,---,---,---,---,---,
Cabecera altura,23:12:54,1503,4,---,---,---,---,
Cabecera altura,23:13:14,---,---,---,---,---,---,
Cabecera altura,23:13:34,435,3,---,---,---,---,
Cabecera altura,23:13:56,---,---,---,---,---,---,
Cabecera altura,23:14:17,1983,1,99,7,---,---,
Cabecera altura,23:14:39,---,---,---,---,---,---,
Cabecera altura,23:15:00,329,3,---,---,---,---,
Cabecera altura,23:15:19,---,---,---,---,---,---,
Cabecera altura,23:15:41,1983,7,99,7,---,---,
Cabecera altura,23:16:05,---,---,---,---,---,---,
Cabecera altura,23:16:26,1178,5,---,---,---,---,
Cabecera altura,23:16:51,---,99,6,---,---,---,
Cabecera altura,23:17:12,592,2,---,---,---,---,
Cabecera altura,23:17:35,---,---,---,---,---,---,
Cabecera altura,23:17:57,1984,6,99,8,---,---,
Cabecera altura,23:18:20,---,---,---,---,---,---,
Cabecera altura,23:18:41,1215,1,---,---,---,---,
Cabecera altura,23:19:03,---,---,---,---,---,---,
Cabecera altura,23:19:23,444,1,---,---,---,---,
Cabecera altura,23:19:45,---,27,6,---,---,---,
Cabecera altura,23:20:07,425,2,---,---,---,---,
Cabecera altura,23:20:28,---,---,---,---,---,---,
Cabecera altura,23:20:51,1673,8,---,---,---,---,
Cabecera altura,23:21:11,---,99,6,---,---,---,
Cabecera altura,23:21:34,685,3,---,---,---,---,
Cabecera altura,23:21:56,---,---,---,---,---,---,
Cabecera altura,23:22:17,76,9,---,---,---,---,
Cabecera altura,23:22:38,---,---,---,---,---,---,
Cabecera altura,23:22:57,265,9,4,5,---,---,
Cabecera altura,23:23:21,---,---,---,---,---,---,
Cabecera altura,23:23:42,1295,1,---,---,---,---,
Cabecera altura,23:24:02,---,---,---,---,---,---,
Cabecera altura,23:24:26,1104,4,---,---,---,---,
Cabecera altura,23:24:45,---,100,0,---,---,---,
Cabecera altura,23:25:11,1766,0,---,---,---,---,
Cabecera altura,23:25:31,---,---,---,---,---,---,
Cabecera altura,23:25:56,1981,9,99,8,---,---,
Cabecera altura,23:26:18,---,---,---,---,---,---,
Cabecera altura,23:26:41,1900,3,74,1,---,---,
Cabecera altura,23:27:10,---,---,---,---,---,---,
Cabecera altura,23:27:31,---,---,---,---,---,---,
Cabecera altura,23:27:51,---,---,---,---,---,---,
Cabecera altura,23:28:14,1987,0,99,8,---,---,
Cabecera altura,23:28:38,1987,3,99,8,---,---,
Cabecera altura,23:28:59,---,---,---,---,---,---,
Cabecera altura,23:29:20,837,8,---,---,---,---,
Cabecera altura,23:29:43,---,---,---,---,---,---,
Cabecera altura,23:30:06,933,7,66,5,---,---,
Cabecera altura,23:30:29,---,---,---,---,---,---,
Cabecera altura,23:30:50,---,---,---,---,---,---,
Cabecera altura,23:31:15,1988,3,99,7,---,---,
Cabecera altura,23:31:37,1976,9,100,0,---,---,
Cabecera altura,23:31:59,---,99,8,---,---,---,
Cabecera altura,23:32:19,---,---,---,---,---,---,
Cabecera altura,23:32:40,1072,2,---,---,---,---,
Cabecera altura,23:33:00,---,---,---,---,---,---,
Cabecera altura,23:33:21,1861,3,27,8,---,---,
Cabecera altura,23:33:43,---,---,---,---,---,---,
Cabecera altura,23:34:05,---,---,---,---,---,---,
Cabecera altura,23:34:27,591,8,---,---,---,---,
Cabecera altura,23:34:51,---,---,---,---,---,---,
Cabecera altura,23:35:11,---,100,0,---,---,---,
Cabecera altura,23:35:36,1986,0,100,0,---,---,
Cabecera altura,23:35:58,---,---,---,---,---,---,
Cabecera altura,23:36:16,---,---,---,---,---,---,
Cabecera altura,23:36:39,---,---,---,---,---,---,
Cabecera altura,23:37:02,1761,8,---,---,---,---,
Cabecera altura,23:37:25,---,---,---,---,---,---,
Cabecera altura,23:37:45,188,6,---,---,---,---,
Cabecera altura,23:38:11,---,99,9,---,---,---,
Cabecera altura,23:38:29,---,---,---,---,---,---,
Cabecera altura,23:38:53,1987,3,99,8,---,---,
Cabecera altura,23:39:13,---,---,---,---,---,---,
Cabecera altura,23:39:32,350,1,---,---,---,---,
Cabecera altura,23:39:53,---,99,9,---,---,---,
Cabecera altura,23:40:17,1986,1,99,7,---,---,
Cabecera altura,23:40:38,1984,8,99,9,---,---,
Cabecera altura,23:40:59,---,---,---,---,---,---,
Cabecera altura,23:41:19,1410,7,---,---,---,---,
Cabecera altura,23:41:42,---,99,9,---,---,---,
Cabecera altura,23:42:03,148,2,---,---,---,---,
Cabecera altura,23:42:26,---,99,9,---,---,---,
Cabecera altura,23:42:48,1986,9,99,8,---,---,
Cabecera altura,23:43:11,---,---,---,---,---,---,
Cabecera altura,23:43:33,1986,8,99,8,---,---,
Cabecera altura,23:43:52,---,---,---,---,---,---,
Cabecera altura,23:44:14,972,3,---,---,---,---,
Cabecera altura,23:44:36,---,---,---,---,---,---,
Cabecera altura,23:44:58,1985,3,99,9,---,---,
Cabecera altura,23:45:20,1986,0,99,9,---,---,
Cabecera altura,23:45:45,1986,8,99,8,---,---,
Cabecera altura,23:46:04,---,---,---,---,---,---,
Cabecera altura,23:46:27,1915,7,100,0,---,---,
Cabecera altura,23:46:50,---,99,8,---,---,---,
Cabecera altura,23:47:14,1823,9,---,---,---,---,
Cabecera altura,23:47:36,---,---,---,---,---,---,
Cabecera altura,23:47:59,513,0,---,---,---,---,
Cabecera altura,23:48:20,---,---,---,---,---,---,
Cabecera altura,23:48:42,1511,6,---,---,---,---,
Cabecera altura,23:49:01,---,---,---,---,---,---,
Cabecera altura,23:49:25,356,5,---,---,---,---,
Cabecera altura,23:49:46,---,99,8,---,---,---,
Cabecera altura,23:50:06,685,6,---,---,---,---,
Cabecera altura,23:50:27,---,---,---,---,---,---,
Cabecera altura,23:50:48,771,9,---,---,---,---,
Cabecera altura,23:51:11,---,99,9,---,---,---,
Cabecera altura,23:51:33,910,6,---,---,---,---,
Cabecera altura,23:51:53,---,---,---,---,---,---,
Cabecera altura,23:52:18,1987,4,99,9,---,---,
Cabecera altura,23:52:39,---,---,---,---,---,---,
Cabecera altura,23:52:58,26,2,---,---,---,---,
Cabecera altura,23:53:20,---,99,9,---,---,---,
Cabecera altura,23:53:39,509,6,---,---,---,---,
Cabecera altura,23:54:02,---,99,8,---,---,---,
Cabecera altura,23:54:24,1236,1,---,---,---,---,
Cabecera altura,23:54:44,---,---,---,---,---,---,
Cabecera altura,23:55:06,1111,9,---,---,---,---,
Cabecera altura,23:55:27,---,---,---,---,---,---,
Cabecera altura,23:55:45,5,9,---,---,---,---,
Cabecera altura,23:56:08,---,99,9,---,---,---,
Cabecera altura,23:56:27,---,---,---,---,---,---,
Cabecera altura,23:56:49,542,6,---,---,---,---,
Cabecera altura,23:57:10,---,---,---,---,---,---,
Cabecera altura,23:57:34,359,4,---,---,---,---,
Cabecera altura,23:57:57,---,---,---,---,---,---,
Cabecera altura,23:58:18,---,---,---,---,---,---,
Cabecera altura,23:58:45,1986,8,99,9,---,---,
Cabecera altura,23:59:08,1987,2,99,8,---,---,
Cabecera altura,23:59:34,1987,4,99,8,---,---,
Cabecera altura,23:59:53,---,---,---,---,---,---,
Cabecera altura,00:00:15,820,5,---,---,---,---,
Cabecera altura,00:00:38,---,---,---,---,---,---,
Cabecera altura,00:01:00,933,9,---,---,---,---,
Cabecera altura,00:01:19,---,---,---,---,---,---,
Cabecera altura,00:01:40,206,1,---,---,---,---,
Cabecera altura,00:02:02,---,100,0,---,---,---,
Cabecera altura,00:02:23,---,---,---,---,---,---,
Cabecera altura,00:02:48,1101,4,---,---,---,---,
Cabecera altura,00:03:10,---,---,---,---,---,---,
Cabecera altura,00:03:29,237,2,---,---,---,---,
Cabecera altura,00:03:54,---,---,---,---,---,---,
Cabecera altura,00:04:15,1985,0,99,8,---,---,
Cabecera altura,00:04:38,1985,1,99,9,---,---,
Cabecera altura,00:05:00,---,---,---,---,---,---,
Cabecera altura,00:05:23,1987,9,99,8,---,---,
Cabecera altura,00:05:43,---,---,---,---,---,---,
Cabecera altura,00:06:06,1989,8,99,9,---,---,
Cabecera altura,00:06:28,1990,1,99,8,---,---,
Cabecera altura,00:06:50,---,---,---,---,---,---,
Cabecera altura,00:07:10,317,5,---,---,---,---,
Cabecera altura,00:07:32,---,---,---,---,---,---,
Cabecera altura,00:07:52,---,---,---,---,---,---,
Cabecera altura,00:08:15,823,0,---,---,---,---,
Cabecera altura,00:08:35,---,---,---,---,---,---,
Cabecera altura,00:08:55,645,7,---,---,---,---,
Cabecera altura,00:09:17,---,99,9,---,---,---,
Cabecera altura,00:09:40,996,4,---,---,---,---,
Cabecera altura,00:10:05,---,99,8,---,---,---,
Cabecera altura,00:10:28,887,3,---,---,---,---,
Cabecera altura,00:10:50,---,---,---,---,---,---,
Cabecera altura,00:11:12,161,3,---,---,---,---,
Cabecera altura,00:11:33,---,---,---,---,---,---,
Cabecera altura,00:11:55,---,---,---,---,---,---,
Cabecera altura,00:12:18,1248,7,---,---,---,---,
Cabecera altura,00:12:38,---,---,---,---,---,---,
Cabecera altura,00:12:56,---,---,---,---,---,---,
Cabecera altura,00:13:14,---,---,---,---,---,---,
Cabecera altura,00:13:31,---,---,---,---,---,---,
Cabecera altura,00:13:51,---,---,---,---,---,---,
Cabecera altura,00:14:17,2902,1,---,---,---,---,
Cabecera altura,00:14:37,---,---,---,---,---,---,
Cabecera altura,00:14:59,563,1,---,---,---,---,
Cabecera altura,00:15:23,---,---,---,---,---,---,
Cabecera altura,00:15:43,56,2,---,---,---,---,
Cabecera altura,00:16:12,---,---,---,---,---,---,
Cabecera altura,00:16:38,1881,2,---,---,---,---,
Cabecera altura,00:17:03,---,---,---,---,---,---,
Cabecera altura,00:17:31,---,---,---,---,---,---,
Cabecera altura,00:17:55,764,4,---,---,---,---,
Cabecera altura,00:18:14,---,---,---,---,---,---,
Cabecera altura,00:18:42,1421,0,---,---,---,---,
Cabecera altura,00:19:10,---,---,---,---,---,---,
Cabecera altura,00:19:36,---,---,---,---,---,---,
Cabecera altura,00:19:57,---,---,---,---,---,---,
Cabecera altura,00:20:22,791,8,---,---,---,---,
Cabecera altura,00:20:47,---,---,---,---,---,---,
Cabecera altura,00:21:14,1327,6,---,---,---,---,
Cabecera altura,00:21:41,---,---,---,---,---,---,
Cabecera altura,00:22:04,---,---,---,---,---,---,
Cabecera altura,00:22:25,889,2,---,---,---,---,
Cabecera altura,00:22:49,---,---,---,---,---,---,
Cabecera altura,00:23:14,---,---,---,---,---,---,
Cabecera altura,00:23:35,---,---,---,---,---,---,
Cabecera altura,00:24:04,2446,6,---,---,---,---,
Cabecera altura,00:24:32,---,---,---,---,---,---,
Cabecera altura,00:24:59,1033,5,---,---,---,---,
Cabecera altura,00:25:20,---,---,---,---,---,---,
Cabecera altura,00:25:45,1106,8,---,---,---,---,
Cabecera altura,00:26:13,---,---,---,---,---,---,
Cabecera altura,00:26:36,1424,7,---,---,---,---,
Cabecera altura,00:26:56,---,---,---,---,---,---,
Cabecera altura,00:27:19,1324,3,---,---,---,---,
Cabecera altura,00:27:40,---,---,---,---,---,---,
