Code,Tiempo,Escalas(m),Datos1(°C),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Temperature,07:13:15,1549,7,12,1,---,---,
Starboard Temperature,07:13:52,1549,9,12,1,---,---,
Starboard Temperature,07:14:29,1550,1,12,1,---,---,
Starboard Temperature,07:15:06,1550,0,12,0,---,---,
Starboard Temperature,07:15:43,1549,7,12,0,---,---,
Starboard Temperature,07:16:20,1549,9,11,9,---,---,
Starboard Temperature,07:16:58,1549,8,12,0,---,---,
Starboard Temperature,07:17:35,1550,0,11,9,---,---,
Starboard Temperature,07:18:12,1550,0,11,9,---,---,
Starboard Temperature,07:18:49,1549,9,11,9,---,---,
Starboard Temperature,07:19:26,1549,8,11,9,---,---,
Starboard Temperature,07:20:03,1549,8,11,9,---,---,
Starboard Temperature,07:20:41,1549,8,11,9,---,---,
Starboard Temperature,07:21:18,1550,1,---,---,---,---,
Starboard Temperature,07:21:55,1549,9,11,8,---,---,
Starboard Temperature,07:22:33,1550,1,11,8,---,---,
Starboard Temperature,07:23:12,1549,7,11,8,---,---,
Starboard Temperature,07:23:49,1550,2,11,8,---,---,
Starboard Temperature,07:24:26,1549,7,11,8,---,---,
Starboard Temperature,07:25:03,1550,0,11,7,---,---,
Starboard Temperature,07:25:40,1550,0,11,8,---,---,
Starboard Temperature,07:26:17,1549,8,11,8,---,---,
Starboard Temperature,07:26:55,1550,0,11,7,---,---,
Starboard Temperature,07:27:32,1549,8,11,8,---,---,
Starboard Temperature,07:28:09,1549,9,11,7,---,---,
Starboard Temperature,07:28:46,1549,8,11,8,---,---,
Starboard Temperature,07:29:24,1550,0,11,7,---,---,
Starboard Temperature,07:30:01,1549,9,11,7,---,---,
Starboard Temperature,07:30:38,1549,8,11,8,---,---,
Starboard Temperature,07:31:15,1549,6,11,7,---,---,
Starboard Temperature,07:31:52,1549,8,11,7,---,---,
Starboard Temperature,07:32:29,1550,0,11,7,---,---,
Starboard Temperature,07:33:07,1549,8,11,7,---,---,
Starboard Temperature,07:33:44,1549,6,11,7,---,---,
Starboard Temperature,07:34:21,1549,4,11,7,---,---,
Starboard Temperature,07:34:58,1549,4,11,7,---,---,
Starboard Temperature,07:35:35,1549,2,11,7,---,---,
Starboard Temperature,07:36:12,1549,2,11,7,---,---,
Starboard Temperature,07:36:49,1549,6,11,7,---,---,
Starboard Temperature,07:37:26,1549,7,11,7,---,---,
Starboard Temperature,07:38:04,1549,7,11,7,---,---,
Starboard Temperature,07:38:41,1549,8,11,7,---,---,
Starboard Temperature,07:39:18,1549,7,11,6,---,---,
Starboard Temperature,07:39:55,1549,7,11,7,---,---,
Starboard Temperature,07:40:32,1549,7,11,7,---,---,
Starboard Temperature,07:41:09,1549,3,11,6,---,---,
Starboard Temperature,07:41:46,1549,6,11,6,---,---,
Starboard Temperature,07:42:23,1549,3,11,6,---,---,
Starboard Temperature,07:43:01,1549,3,11,6,---,---,
Starboard Temperature,07:43:38,1549,7,11,6,---,---,
