Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
D20C,13:43:01,---,---,---,---,---,---,
D20C,13:43:22,877,5,Off,---,---,---,---,
D20C,13:43:48,880,7,---,---,---,---,---,
D20C,13:44:13,---,---,---,---,---,---,
D20C,13:44:35,875,7,Off,---,---,---,---,
D20C,13:44:58,876,5,Off,---,---,---,---,
D20C,13:45:21,876,1,Off,---,---,---,---,
D20C,13:45:51,---,---,---,---,---,---,
D20C,13:46:12,876,8,Off,---,---,---,---,
D20C,13:46:37,876,0,---,---,---,---,---,
D20C,13:46:58,877,5,Off,---,---,---,---,
D20C,13:47:21,875,4,Off,---,---,---,---,
D20C,13:47:50,---,---,---,---,---,---,
D20C,13:48:15,---,---,---,---,---,---,
D20C,13:48:36,875,0,Off,---,---,---,---,
D20C,13:49:00,875,5,Off,---,---,---,---,
D20C,13:49:23,875,7,Off,---,---,---,---,
D20C,13:49:48,876,2,Off,---,---,---,---,
D20C,13:50:10,876,1,Off,---,---,---,---,
D20C,13:50:34,875,6,Off,---,---,---,---,
D20C,13:50:57,875,6,Off,---,---,---,---,
D20C,13:51:20,875,8,Off,---,---,---,---,
D20C,13:51:45,875,4,Off,---,---,---,---,
D20C,13:52:09,876,1,Off,---,---,---,---,
D20C,13:52:35,---,---,---,---,---,---,
D20C,13:52:57,875,8,Off,---,---,---,---,
D20C,13:53:23,---,---,---,---,---,---,
D20C,13:53:46,876,1,Off,---,---,---,---,
D20C,13:54:10,875,2,---,---,---,---,---,
D20C,13:54:30,875,1,Off,---,---,---,---,
D20C,13:54:55,875,0,Off,---,---,---,---,
D20C,13:55:19,875,4,Off,---,---,---,---,
D20C,13:55:43,875,9,Off,---,---,---,---,
D20C,13:56:07,876,5,Off,---,---,---,---,
D20C,13:56:31,876,1,Off,---,---,---,---,
D20C,13:56:54,875,4,Off,---,---,---,---,
D20C,13:57:17,875,5,Off,---,---,---,---,
D20C,13:57:42,875,4,---,---,---,---,---,
D20C,13:58:03,875,7,Off,---,---,---,---,
D20C,13:58:27,875,7,Off,---,---,---,---,
D20C,13:58:51,875,3,Off,---,---,---,---,
D20C,13:59:15,876,0,Off,---,---,---,---,
D20C,13:59:40,876,4,---,---,---,---,---,
D20C,14:00:01,875,6,Off,---,---,---,---,
D20C,14:00:25,876,0,Off,---,---,---,---,
D20C,14:00:50,875,9,Off,---,---,---,---,
D20C,14:01:14,877,4,Off,---,---,---,---,
D20C,14:01:35,877,3,Off,---,---,---,---,
D20C,14:01:59,876,0,Off,---,---,---,---,
D20C,14:02:26,---,---,---,---,---,---,
D20C,14:02:53,---,---,---,---,---,---,
D20C,14:03:18,---,---,---,---,---,---,
D20C,14:03:42,---,---,---,---,---,---,
D20C,14:04:03,878,0,Off,---,---,---,---,
D20C,14:04:27,875,9,Off,---,---,---,---,
D20C,14:04:51,876,0,Off,---,---,---,---,
D20C,14:05:14,875,6,Off,---,---,---,---,
D20C,14:05:38,876,4,Off,---,---,---,---,
D20C,14:06:02,875,7,Off,---,---,---,---,
D20C,14:06:25,875,9,Off,---,---,---,---,
D20C,14:06:51,877,3,Off,---,---,---,---,
D20C,14:07:13,876,7,Off,---,---,---,---,
D20C,14:07:37,877,2,Off,---,---,---,---,
D20C,14:08:03,---,---,---,---,---,---,
D20C,14:08:28,---,---,---,---,---,---,
D20C,14:08:51,876,7,Off,---,---,---,---,
D20C,14:09:18,876,6,Off,---,---,---,---,
D20C,14:09:41,876,7,Off,---,---,---,---,
D20C,14:10:03,876,4,Off,---,---,---,---,
D20C,14:10:27,878,7,Off,---,---,---,---,
D20C,14:10:50,876,6,Off,---,---,---,---,
D20C,14:11:16,---,---,---,---,---,---,
D20C,14:11:38,876,3,Off,---,---,---,---,
D20C,14:12:02,878,2,---,---,---,---,---,
D20C,14:12:24,876,0,Off,---,---,---,---,
D20C,14:12:46,880,4,Off,---,---,---,---,
D20C,14:13:10,876,1,Off,---,---,---,---,
D20C,14:13:34,881,0,Off,---,---,---,---,
D20C,14:14:01,880,1,Off,---,---,---,---,
D20C,14:14:29,---,---,---,---,---,---,
D20C,14:14:50,876,6,Off,---,---,---,---,
D20C,14:15:15,878,9,Off,---,---,---,---,
D20C,14:15:39,876,9,Off,---,---,---,---,
D20C,14:16:04,876,1,---,---,---,---,---,
D20C,14:16:25,876,9,---,---,---,---,---,
D20C,14:16:48,877,3,Off,---,---,---,---,
D20C,14:17:14,877,4,---,---,---,---,---,
D20C,14:17:38,876,9,Off,---,---,---,---,
D20C,14:18:01,877,4,Off,---,---,---,---,
D20C,14:18:23,877,6,Off,---,---,---,---,
D20C,14:18:50,---,---,---,---,---,---,
D20C,14:19:13,877,4,Off,---,---,---,---,
D20C,14:19:38,877,7,Off,---,---,---,---,
D20C,14:20:01,877,5,Off,---,---,---,---,
D20C,14:20:23,878,3,Off,---,---,---,---,
D20C,14:20:47,878,4,Off,---,---,---,---,
D20C,14:21:13,876,7,Off,---,---,---,---,
D20C,14:21:36,878,7,Off,---,---,---,---,
D20C,14:22:01,877,3,Off,---,---,---,---,
D20C,14:22:25,878,9,---,---,---,---,---,
D20C,14:22:48,877,4,Off,---,---,---,---,
D20C,14:23:13,877,6,Off,---,---,---,---,
D20C,14:23:40,---,---,---,---,---,---,
D20C,14:24:02,879,2,Off,---,---,---,---,
D20C,14:24:28,---,---,---,---,---,---,
D20C,14:24:51,876,4,On,---,---,---,---,
D20C,14:25:13,877,6,Off,---,---,---,---,
D20C,14:25:39,---,---,---,---,---,---,
D20C,14:26:03,---,---,---,---,---,---,
D20C,14:26:23,879,5,Off,---,---,---,---,
D20C,14:26:46,877,1,Off,---,---,---,---,
D20C,14:27:09,876,6,Off,---,---,---,---,
D20C,14:27:34,877,9,Off,---,---,---,---,
D20C,14:27:57,876,6,Off,---,---,---,---,
D20C,14:28:19,876,4,Off,---,---,---,---,
D20C,14:28:48,---,---,---,---,---,---,
D20C,14:29:10,877,1,---,---,---,---,---,
D20C,14:29:33,877,0,Off,---,---,---,---,
D20C,14:29:56,---,---,---,---,---,---,
D20C,14:30:24,---,---,---,---,---,---,
D20C,14:30:51,---,---,---,---,---,---,
D20C,14:31:17,---,---,---,---,---,---,
D20C,14:31:42,---,---,---,---,---,---,
D20C,14:32:11,---,---,---,---,---,---,
D20C,14:32:34,---,---,---,---,---,---,
D20C,14:32:59,---,---,---,---,---,---,
D20C,14:33:24,---,---,---,---,---,---,
D20C,14:33:49,---,---,---,---,---,---,
D20C,14:34:14,---,---,---,---,---,---,
D20C,14:34:41,---,---,---,---,---,---,
D20C,14:35:07,---,---,---,---,---,---,
D20C,14:35:32,---,---,---,---,---,---,
D20C,14:35:55,453,7,Off,---,---,---,---,
D20C,14:36:18,423,8,Off,---,---,---,---,
D20C,14:36:42,393,9,Off,---,---,---,---,
D20C,14:37:07,360,9,Off,---,---,---,---,
D20C,14:37:30,331,2,Off,---,---,---,---,
D20C,14:37:58,---,---,---,---,---,---,
D20C,14:38:19,279,5,Off,---,---,---,---,
D20C,14:38:44,258,0,Off,---,---,---,---,
D20C,14:39:09,241,1,Off,---,---,---,---,
D20C,14:39:33,225,1,Off,---,---,---,---,
D20C,14:39:57,209,2,Off,---,---,---,---,
D20C,14:40:20,191,8,Off,---,---,---,---,
D20C,14:40:44,171,8,Off,---,---,---,---,
D20C,14:41:07,156,9,Off,---,---,---,---,
D20C,14:41:31,145,1,Off,---,---,---,---,
D20C,14:41:56,146,2,Off,---,---,---,---,
D20C,14:42:24,147,4,Off,---,---,---,---,
D20C,14:42:52,137,1,Off,---,---,---,---,
D20C,14:43:20,113,4,Off,---,---,---,---,
D20C,14:43:48,109,9,Off,---,---,---,---,
D20C,14:44:16,95,2,Off,---,---,---,---,
D20C,14:44:44,66,4,Off,---,---,---,---,
D20C,14:45:12,65,4,Off,---,---,---,---,
D20C,14:45:39,65,4,Off,---,---,---,---,
D20C,14:46:12,---,---,---,---,---,---,
D20C,14:46:41,---,---,---,---,---,---,
D20C,14:47:11,---,---,---,---,---,---,
D20C,14:47:40,---,---,---,---,---,---,
D20C,14:48:10,---,---,---,---,---,---,
D20C,14:48:34,22,9,Off,---,---,---,---,
D20C,14:49:02,17,4,Off,---,---,---,---,
D20C,14:49:30,12,0,Off,---,---,---,---,
D20C,14:49:58,7,9,Off,---,---,---,---,
D20C,14:50:31,---,---,---,---,---,---,
D20C,14:51:00,---,---,---,---,---,---,
D20C,14:51:30,---,---,---,---,---,---,
D20C,14:51:59,---,---,---,---,---,---,
D20C,14:52:28,---,---,---,---,---,---,
D20C,14:52:58,---,---,---,---,---,---,
D20C,14:53:27,---,---,---,---,---,---,
D20C,14:53:56,---,---,---,---,---,---,
D20C,14:54:26,---,---,---,---,---,---,
D20C,14:54:55,---,---,---,---,---,---,
D20C,14:55:25,---,---,---,---,---,---,
D20C,14:55:54,---,---,---,---,---,---,
D20C,14:56:23,---,---,---,---,---,---,
D20C,14:56:53,---,---,---,---,---,---,
D20C,14:57:22,---,---,---,---,---,---,
D20C,14:57:51,---,---,---,---,---,---,
D20C,14:58:21,---,---,---,---,---,---,
D20C,14:58:50,---,---,---,---,---,---,
D20C,14:59:20,---,---,---,---,---,---,
D20C,14:59:44,59,0,Off,---,---,---,---,
D20C,15:00:17,---,---,---,---,---,---,
D20C,15:00:40,137,3,Off,---,---,---,---,
D20C,15:01:08,152,1,Off,---,---,---,---,
D20C,15:01:40,---,---,---,---,---,---,
D20C,15:02:02,167,2,---,---,---,---,---,
D20C,15:02:28,---,---,---,---,---,---,
D20C,15:02:53,---,---,---,---,---,---,
D20C,15:03:18,---,---,---,---,---,---,
D20C,15:03:42,---,---,---,---,---,---,
D20C,15:04:02,402,3,---,---,---,---,---,
D20C,15:04:22,---,---,---,---,---,---,
D20C,15:04:46,---,---,---,---,---,---,
D20C,15:05:11,573,9,---,---,---,---,---,
D20C,15:05:39,---,---,---,---,---,---,
D20C,15:05:59,---,Off,---,---,---,---,
D20C,15:06:25,---,---,---,---,---,---,
D20C,15:06:49,708,0,Off,---,---,---,---,
D20C,15:07:12,710,1,Off,---,---,---,---,
D20C,15:07:36,716,4,---,---,---,---,---,
D20C,15:07:58,719,7,Off,---,---,---,---,
D20C,15:08:23,719,8,Off,---,---,---,---,
D20C,15:08:47,721,7,Off,---,---,---,---,
D20C,15:09:09,723,0,Off,---,---,---,---,
D20C,15:09:35,---,---,---,---,---,---,
D20C,15:09:55,722,9,Off,---,---,---,---,
D20C,15:10:19,724,7,---,---,---,---,---,
D20C,15:10:42,728,0,Off,---,---,---,---,
D20C,15:11:11,---,---,---,---,---,---,
D20C,15:11:31,723,2,Off,---,---,---,---,
D20C,15:11:56,724,6,Off,---,---,---,---,
D20C,15:12:21,723,9,Off,---,---,---,---,
D20C,15:12:44,723,1,Off,---,---,---,---,
D20C,15:13:08,723,6,Off,---,---,---,---,
D20C,15:13:32,723,4,---,---,---,---,---,
D20C,15:13:54,722,8,Off,---,---,---,---,
D20C,15:14:20,---,---,---,---,---,---,
D20C,15:14:41,723,1,Off,---,---,---,---,
D20C,15:15:06,723,8,Off,---,---,---,---,
D20C,15:15:27,723,4,Off,---,---,---,---,
D20C,15:15:50,723,6,Off,---,---,---,---,
D20C,15:16:13,723,2,Off,---,---,---,---,
D20C,15:16:40,---,---,---,---,---,---,
D20C,15:17:01,725,3,Off,---,---,---,---,
D20C,15:17:25,725,3,---,---,---,---,---,
D20C,15:17:47,723,5,Off,---,---,---,---,
D20C,15:18:10,724,0,Off,---,---,---,---,
D20C,15:18:34,723,2,Off,---,---,---,---,
D20C,15:19:00,---,---,---,---,---,---,
D20C,15:19:21,723,7,Off,---,---,---,---,
D20C,15:19:44,724,0,Off,---,---,---,---,
D20C,15:20:07,723,0,Off,---,---,---,---,
D20C,15:20:34,---,---,---,---,---,---,
D20C,15:20:56,722,7,Off,---,---,---,---,
D20C,15:21:19,723,7,Off,---,---,---,---,
D20C,15:21:42,723,2,Off,---,---,---,---,
D20C,15:22:07,726,2,Off,---,---,---,---,
D20C,15:22:30,725,8,Off,---,---,---,---,
D20C,15:22:54,725,1,Off,---,---,---,---,
D20C,15:23:19,725,2,---,---,---,---,---,
D20C,15:23:40,723,8,Off,---,---,---,---,
D20C,15:24:04,724,6,Off,---,---,---,---,
D20C,15:24:27,724,3,Off,---,---,---,---,
D20C,15:24:49,724,7,Off,---,---,---,---,
D20C,15:25:18,---,---,---,---,---,---,
D20C,15:25:38,725,7,Off,---,---,---,---,
D20C,15:26:02,724,1,Off,---,---,---,---,
D20C,15:26:25,724,2,Off,---,---,---,---,
D20C,15:26:49,724,1,Off,---,---,---,---,
D20C,15:27:11,723,4,Off,---,---,---,---,
D20C,15:27:34,724,0,Off,---,---,---,---,
D20C,15:27:57,725,0,Off,---,---,---,---,
D20C,15:28:21,725,9,---,---,---,---,---,
D20C,15:28:43,735,9,Off,---,---,---,---,
D20C,15:29:06,742,4,Off,---,---,---,---,
D20C,15:29:30,755,0,Off,---,---,---,---,
D20C,15:29:54,762,6,Off,---,---,---,---,
D20C,15:30:20,---,---,---,---,---,---,
D20C,15:30:45,---,---,---,---,---,---,
D20C,15:31:06,765,9,Off,---,---,---,---,
D20C,15:31:29,766,0,Off,---,---,---,---,
D20C,15:31:52,769,2,Off,---,---,---,---,
D20C,15:32:16,765,7,Off,---,---,---,---,
D20C,15:32:39,765,9,Off,---,---,---,---,
D20C,15:33:04,767,1,Off,---,---,---,---,
D20C,15:33:29,766,3,Off,---,---,---,---,
D20C,15:33:55,767,0,Off,---,---,---,---,
D20C,15:34:17,766,2,Off,---,---,---,---,
D20C,15:34:40,766,5,Off,---,---,---,---,
D20C,15:35:03,770,5,Off,---,---,---,---,
D20C,15:35:26,765,9,Off,---,---,---,---,
D20C,15:35:52,---,---,---,---,---,---,
D20C,15:36:14,766,1,Off,---,---,---,---,
D20C,15:36:37,766,3,Off,---,---,---,---,
D20C,15:36:59,766,9,Off,---,---,---,---,
D20C,15:37:26,---,---,---,---,---,---,
D20C,15:37:50,---,---,---,---,---,---,
D20C,15:38:11,771,2,Off,---,---,---,---,
D20C,15:38:34,782,0,Off,---,---,---,---,
D20C,15:38:59,791,8,Off,---,---,---,---,
D20C,15:39:24,802,3,Off,---,---,---,---,
D20C,15:39:51,801,6,Off,---,---,---,---,
D20C,15:40:17,---,---,---,---,---,---,
D20C,15:40:41,---,---,---,---,---,---,
D20C,15:41:08,---,---,---,---,---,---,
D20C,15:41:34,---,---,---,---,---,---,
D20C,15:41:57,801,6,Off,---,---,---,---,
D20C,15:42:21,801,9,Off,---,---,---,---,
D20C,15:42:47,802,3,---,---,---,---,---,
D20C,15:43:08,802,2,Off,---,---,---,---,
D20C,15:43:30,800,8,Off,---,---,---,---,
D20C,15:43:56,802,4,Off,---,---,---,---,
D20C,15:44:19,801,9,Off,---,---,---,---,
D20C,15:44:41,802,5,Off,---,---,---,---,
D20C,15:45:07,---,---,---,---,---,---,
D20C,15:45:28,801,6,Off,---,---,---,---,
D20C,15:45:51,801,7,Off,---,---,---,---,
D20C,15:46:13,802,4,Off,---,---,---,---,
D20C,15:46:37,802,8,---,---,---,---,---,
D20C,15:47:04,---,---,---,---,---,---,
D20C,15:47:27,803,7,Off,---,---,---,---,
D20C,15:47:52,803,0,---,---,---,---,---,
D20C,15:48:20,---,---,---,---,---,---,
D20C,15:48:42,802,1,Off,---,---,---,---,
D20C,15:49:04,801,6,Off,---,---,---,---,
D20C,15:49:30,802,4,---,---,---,---,---,
D20C,15:49:54,801,9,---,---,---,---,---,
D20C,15:50:21,---,---,---,---,---,---,
D20C,15:50:47,---,---,---,---,---,---,
D20C,15:51:12,---,---,---,---,---,---,
D20C,15:51:35,804,4,Off,---,---,---,---,
D20C,15:52:01,800,9,---,---,---,---,---,
D20C,15:52:22,808,2,Off,---,---,---,---,
D20C,15:52:51,---,---,---,---,---,---,
D20C,15:53:17,---,---,---,---,---,---,
D20C,15:53:40,801,7,Off,---,---,---,---,
D20C,15:54:06,803,8,---,---,---,---,---,
D20C,15:54:31,801,9,Off,---,---,---,---,
D20C,15:54:55,803,1,---,---,---,---,---,
D20C,15:55:18,801,9,Off,---,---,---,---,
D20C,15:55:43,802,5,Off,---,---,---,---,
D20C,15:56:06,802,5,Off,---,---,---,---,
D20C,15:56:29,801,7,Off,---,---,---,---,
D20C,15:56:54,802,3,Off,---,---,---,---,
D20C,15:57:19,803,4,Off,---,---,---,---,
D20C,15:57:44,802,4,Off,---,---,---,---,
D20C,15:58:07,808,3,---,---,---,---,---,
D20C,15:58:31,---,---,---,---,---,---,
D20C,15:58:58,---,---,---,---,---,---,
D20C,15:59:25,---,---,---,---,---,---,
D20C,15:59:47,802,2,Off,---,---,---,---,
D20C,16:00:18,---,---,---,---,---,---,
D20C,16:00:44,---,---,---,---,---,---,
D20C,16:01:07,801,7,Off,---,---,---,---,
D20C,16:01:32,802,4,Off,---,---,---,---,
D20C,16:01:55,802,3,Off,---,---,---,---,
D20C,16:02:20,802,2,Off,---,---,---,---,
D20C,16:02:42,802,9,Off,---,---,---,---,
D20C,16:03:09,801,4,---,---,---,---,---,
D20C,16:03:35,---,---,---,---,---,---,
D20C,16:03:58,---,---,---,---,---,---,
D20C,16:04:21,801,9,Off,---,---,---,---,
D20C,16:04:46,803,0,Off,---,---,---,---,
D20C,16:05:10,802,3,---,---,---,---,---,
D20C,16:05:33,801,9,Off,---,---,---,---,
D20C,16:06:02,---,---,---,---,---,---,
D20C,16:06:24,801,2,Off,---,---,---,---,
D20C,16:06:49,802,3,Off,---,---,---,---,
D20C,16:07:13,801,9,---,---,---,---,---,
D20C,16:07:36,801,0,Off,---,---,---,---,
D20C,16:08:03,---,---,---,---,---,---,
D20C,16:08:23,802,6,Off,---,---,---,---,
D20C,16:08:51,---,---,---,---,---,---,
D20C,16:09:13,801,5,Off,---,---,---,---,
D20C,16:09:37,801,4,---,---,---,---,---,
D20C,16:10:00,801,5,Off,---,---,---,---,
D20C,16:10:26,803,1,Off,---,---,---,---,
D20C,16:10:52,802,5,---,---,---,---,---,
D20C,16:11:13,803,6,Off,---,---,---,---,
D20C,16:11:35,802,4,Off,---,---,---,---,
D20C,16:12:00,802,2,Off,---,---,---,---,
D20C,16:12:25,803,1,Off,---,---,---,---,
D20C,16:12:48,801,7,Off,---,---,---,---,
D20C,16:13:11,801,6,Off,---,---,---,---,
D20C,16:13:36,801,5,Off,---,---,---,---,
D20C,16:14:01,801,1,Off,---,---,---,---,
D20C,16:14:26,802,4,---,---,---,---,---,
D20C,16:14:49,801,4,Off,---,---,---,---,
D20C,16:15:14,801,4,Off,---,---,---,---,
D20C,16:15:37,801,7,Off,---,---,---,---,
D20C,16:16:02,801,7,Off,---,---,---,---,
D20C,16:16:27,802,3,Off,---,---,---,---,
D20C,16:16:53,801,7,---,---,---,---,---,
D20C,16:17:14,802,1,Off,---,---,---,---,
D20C,16:17:39,803,1,Off,---,---,---,---,
D20C,16:18:03,801,4,Off,---,---,---,---,
D20C,16:18:29,801,9,Off,---,---,---,---,
D20C,16:18:51,---,Off,---,---,---,---,
D20C,16:19:14,801,1,Off,---,---,---,---,
D20C,16:19:39,801,9,Off,---,---,---,---,
D20C,16:20:04,807,8,Off,---,---,---,---,
D20C,16:20:30,---,---,---,---,---,---,
D20C,16:20:53,801,8,Off,---,---,---,---,
D20C,16:21:21,801,7,---,---,---,---,---,
D20C,16:21:45,---,---,---,---,---,---,
D20C,16:22:09,803,6,---,---,---,---,---,
D20C,16:22:32,801,2,Off,---,---,---,---,
D20C,16:22:58,---,---,---,---,---,---,
D20C,16:23:22,799,4,---,---,---,---,---,
D20C,16:23:49,---,---,---,---,---,---,
D20C,16:24:13,---,---,---,---,---,---,
D20C,16:24:39,---,---,---,---,---,---,
D20C,16:25:02,---,---,---,---,---,---,
D20C,16:25:28,---,---,---,---,---,---,
D20C,16:25:54,---,---,---,---,---,---,
D20C,16:26:17,801,1,Off,---,---,---,---,
D20C,16:26:39,802,4,Off,---,---,---,---,
D20C,16:27:05,806,0,Off,---,---,---,---,
D20C,16:27:30,802,6,Off,---,---,---,---,
D20C,16:27:55,802,9,Off,---,---,---,---,
D20C,16:28:21,804,2,---,---,---,---,---,
D20C,16:28:42,802,6,Off,---,---,---,---,
D20C,16:29:08,802,3,---,---,---,---,---,
D20C,16:29:33,---,---,---,---,---,---,
D20C,16:29:54,801,8,Off,---,---,---,---,
D20C,16:30:17,802,7,---,---,---,---,---,
D20C,16:30:40,803,0,Off,---,---,---,---,
D20C,16:31:05,802,2,Off,---,---,---,---,
D20C,16:31:30,802,3,Off,---,---,---,---,
D20C,16:31:52,801,9,Off,---,---,---,---,
D20C,16:32:19,802,1,---,---,---,---,---,
D20C,16:32:42,801,2,Off,---,---,---,---,
D20C,16:33:06,800,7,---,---,---,---,---,
D20C,16:33:27,802,5,---,---,---,---,---,
D20C,16:33:54,---,---,---,---,---,---,
D20C,16:34:15,801,2,Off,---,---,---,---,
D20C,16:34:37,805,3,Off,---,---,---,---,
D20C,16:35:02,801,8,Off,---,---,---,---,
D20C,16:35:29,801,9,---,---,---,---,---,
D20C,16:35:55,---,---,---,---,---,---,
D20C,16:36:20,801,9,Off,---,---,---,---,
D20C,16:36:43,801,7,Off,---,---,---,---,
D20C,16:37:07,---,---,---,---,---,---,
D20C,16:37:34,---,---,---,---,---,---,
D20C,16:38:04,---,---,---,---,---,---,
D20C,16:38:33,---,---,---,---,---,---,
D20C,16:39:02,---,---,---,---,---,---,
D20C,16:39:32,---,---,---,---,---,---,
D20C,16:40:01,---,---,---,---,---,---,
D20C,16:40:30,---,---,---,---,---,---,
D20C,16:40:58,---,---,---,---,---,---,
D20C,16:41:28,---,---,---,---,---,---,
D20C,16:41:56,---,---,---,---,---,---,
D20C,16:42:17,395,9,Off,---,---,---,---,
D20C,16:42:45,---,---,---,---,---,---,
D20C,16:43:08,---,---,---,---,---,---,
D20C,16:43:29,297,7,Off,---,---,---,---,
D20C,16:43:54,---,Off,---,---,---,---,
D20C,16:44:17,243,2,Off,---,---,---,---,
D20C,16:44:43,220,2,Off,---,---,---,---,
D20C,16:45:07,205,5,Off,---,---,---,---,
D20C,16:45:30,191,1,Off,---,---,---,---,
D20C,16:45:54,178,4,Off,---,---,---,---,
D20C,16:46:17,164,5,Off,---,---,---,---,
D20C,16:46:46,---,---,---,---,---,---,
D20C,16:47:08,143,5,Off,---,---,---,---,
D20C,16:47:36,144,2,Off,---,---,---,---,
D20C,16:48:03,138,2,Off,---,---,---,---,
D20C,16:48:31,119,1,Off,---,---,---,---,
D20C,16:48:59,105,2,Off,---,---,---,---,
D20C,16:49:27,106,2,Off,---,---,---,---,
D20C,16:49:55,87,7,Off,---,---,---,---,
D20C,16:50:23,61,6,Off,---,---,---,---,
D20C,16:50:51,60,7,Off,---,---,---,---,
D20C,16:51:19,62,9,Off,---,---,---,---,
D20C,16:51:47,53,7,Off,---,---,---,---,
D20C,16:52:15,44,2,Off,---,---,---,---,
D20C,16:52:43,42,2,Off,---,---,---,---,
D20C,16:53:15,---,---,---,---,---,---,
D20C,16:53:40,37,6,Off,---,---,---,---,
D20C,16:54:08,30,6,Off,---,---,---,---,
D20C,16:54:36,27,2,Off,---,---,---,---,
D20C,16:55:04,22,5,Off,---,---,---,---,
D20C,16:55:36,---,---,---,---,---,---,
D20C,16:56:01,8,8,Off,---,---,---,---,
D20C,16:56:34,---,---,---,---,---,---,
D20C,16:57:03,---,---,---,---,---,---,
D20C,16:57:32,---,---,---,---,---,---,
D20C,16:58:01,---,---,---,---,---,---,
D20C,16:58:31,---,---,---,---,---,---,
D20C,16:59:00,---,---,---,---,---,---,
D20C,16:59:30,---,---,---,---,---,---,
D20C,16:59:59,---,---,---,---,---,---,
D20C,17:00:28,---,---,---,---,---,---,
D20C,17:00:58,---,---,---,---,---,---,
D20C,17:01:27,---,---,---,---,---,---,
D20C,17:01:56,---,---,---,---,---,---,
D20C,17:02:26,---,---,---,---,---,---,
D20C,17:02:55,---,---,---,---,---,---,
D20C,17:03:25,---,---,---,---,---,---,
D20C,17:03:54,---,---,---,---,---,---,
D20C,17:04:23,---,---,---,---,---,---,
D20C,17:04:53,---,---,---,---,---,---,
D20C,17:05:22,---,---,---,---,---,---,
D20C,17:05:52,---,---,---,---,---,---,
D20C,17:06:21,---,---,---,---,---,---,
D20C,17:06:50,---,---,---,---,---,---,
D20C,17:07:20,---,---,---,---,---,---,
D20C,17:07:49,---,---,---,---,---,---,
D20C,17:08:18,---,---,---,---,---,---,
D20C,17:08:43,108,1,Off,---,---,---,---,
D20C,17:09:15,---,---,---,---,---,---,
D20C,17:09:40,143,1,Off,---,---,---,---,
D20C,17:10:08,151,9,Off,---,---,---,---,
D20C,17:10:32,164,5,Off,---,---,---,---,
D20C,17:10:55,180,0,Off,---,---,---,---,
D20C,17:11:23,---,---,---,---,---,---,
D20C,17:11:48,275,4,---,---,---,---,---,
D20C,17:12:11,319,6,---,---,---,---,---,
D20C,17:12:35,---,---,---,---,---,---,
D20C,17:13:02,---,---,---,---,---,---,
D20C,17:13:23,---,Off,---,---,---,---,
D20C,17:13:47,544,5,Off,---,---,---,---,
D20C,17:14:14,---,---,---,---,---,---,
D20C,17:14:34,570,1,Off,---,---,---,---,
D20C,17:14:59,575,7,Off,---,---,---,---,
D20C,17:15:26,575,1,Off,---,---,---,---,
D20C,17:15:51,577,6,Off,---,---,---,---,
D20C,17:16:16,579,4,---,---,---,---,---,
D20C,17:16:39,579,1,Off,---,---,---,---,
D20C,17:17:03,579,2,Off,---,---,---,---,
D20C,17:17:27,579,5,Off,---,---,---,---,
D20C,17:17:52,578,0,Off,---,---,---,---,
D20C,17:18:19,---,---,---,---,---,---,
D20C,17:18:39,584,0,Off,---,---,---,---,
D20C,17:19:02,578,7,Off,---,---,---,---,
D20C,17:19:25,578,6,---,---,---,---,---,
D20C,17:19:47,581,2,---,---,---,---,---,
D20C,17:20:08,584,9,Off,---,---,---,---,
D20C,17:20:32,581,5,---,---,---,---,---,
D20C,17:20:57,579,9,Off,---,---,---,---,
D20C,17:21:20,580,3,---,---,---,---,---,
D20C,17:21:42,582,9,Off,---,---,---,---,
D20C,17:22:06,580,3,Off,---,---,---,---,
D20C,17:22:29,581,0,---,---,---,---,---,
D20C,17:22:53,580,7,---,---,---,---,---,
D20C,17:23:18,---,---,---,---,---,---,
D20C,17:23:39,584,4,Off,---,---,---,---,
D20C,17:24:02,581,8,Off,---,---,---,---,
D20C,17:24:24,581,2,Off,---,---,---,---,
D20C,17:24:51,---,---,---,---,---,---,
D20C,17:25:11,581,9,Off,---,---,---,---,
D20C,17:25:36,580,9,Off,---,---,---,---,
D20C,17:25:59,581,4,Off,---,---,---,---,
D20C,17:26:21,581,2,Off,---,---,---,---,
D20C,17:26:44,580,6,Off,---,---,---,---,
D20C,17:27:09,581,7,Off,---,---,---,---,
D20C,17:27:33,581,3,Off,---,---,---,---,
D20C,17:27:56,581,2,Off,---,---,---,---,
D20C,17:28:19,580,6,Off,---,---,---,---,
D20C,17:28:41,580,5,Off,---,---,---,---,
D20C,17:29:05,580,3,Off,---,---,---,---,
D20C,17:29:30,580,3,Off,---,---,---,---,
D20C,17:29:53,581,4,Off,---,---,---,---,
D20C,17:30:15,580,2,Off,---,---,---,---,
D20C,17:30:38,580,1,Off,---,---,---,---,
D20C,17:31:06,---,---,---,---,---,---,
D20C,17:31:27,580,3,Off,---,---,---,---,
D20C,17:31:53,---,---,---,---,---,---,
D20C,17:32:13,581,0,Off,---,---,---,---,
D20C,17:32:37,580,7,---,---,---,---,---,
D20C,17:32:58,580,6,Off,---,---,---,---,
D20C,17:33:20,581,4,Off,---,---,---,---,
D20C,17:33:43,582,2,Off,---,---,---,---,
