Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
D20C,07:25:57,764,7,Off,---,---,---,---,
D20C,07:26:22,764,8,Off,---,---,---,---,
D20C,07:26:47,763,3,Off,---,---,---,---,
D20C,07:27:11,764,4,Off,---,---,---,---,
D20C,07:27:34,764,2,Off,---,---,---,---,
D20C,07:28:02,---,---,---,---,---,---,
D20C,07:28:25,764,7,Off,---,---,---,---,
D20C,07:28:49,765,2,Off,---,---,---,---,
D20C,07:29:12,764,3,Off,---,---,---,---,
D20C,07:29:37,764,8,Off,---,---,---,---,
D20C,07:30:00,764,4,Off,---,---,---,---,
D20C,07:30:24,763,5,Off,---,---,---,---,
D20C,07:30:48,763,4,Off,---,---,---,---,
D20C,07:31:11,762,0,Off,---,---,---,---,
D20C,07:31:35,762,8,Off,---,---,---,---,
D20C,07:31:58,761,3,Off,---,---,---,---,
D20C,07:32:23,761,1,Off,---,---,---,---,
D20C,07:32:47,760,1,Off,---,---,---,---,
D20C,07:33:10,762,2,Off,---,---,---,---,
D20C,07:33:34,762,0,Off,---,---,---,---,
D20C,07:33:58,763,6,Off,---,---,---,---,
D20C,07:34:22,776,3,Off,---,---,---,---,
D20C,07:34:45,787,3,Off,---,---,---,---,
D20C,07:35:09,798,1,Off,---,---,---,---,
D20C,07:35:32,799,3,Off,---,---,---,---,
D20C,07:35:56,801,3,Off,---,---,---,---,
D20C,07:36:21,800,1,Off,---,---,---,---,
D20C,07:36:45,801,1,Off,---,---,---,---,
D20C,07:37:09,800,9,Off,---,---,---,---,
D20C,07:37:33,800,4,Off,---,---,---,---,
D20C,07:37:56,800,4,Off,---,---,---,---,
D20C,07:38:21,800,8,Off,---,---,---,---,
D20C,07:38:45,800,2,Off,---,---,---,---,
D20C,07:39:08,801,8,Off,---,---,---,---,
D20C,07:39:32,800,9,Off,---,---,---,---,
D20C,07:39:55,801,2,Off,---,---,---,---,
D20C,07:40:18,801,2,Off,---,---,---,---,
D20C,07:40:42,801,4,Off,---,---,---,---,
D20C,07:41:06,801,6,Off,---,---,---,---,
D20C,07:41:28,801,6,Off,---,---,---,---,
D20C,07:41:52,801,9,Off,---,---,---,---,
D20C,07:42:16,801,6,Off,---,---,---,---,
D20C,07:42:39,802,4,Off,---,---,---,---,
D20C,07:43:04,802,0,Off,---,---,---,---,
D20C,07:43:28,802,1,Off,---,---,---,---,
D20C,07:43:51,801,8,Off,---,---,---,---,
D20C,07:44:15,801,7,Off,---,---,---,---,
D20C,07:44:39,802,2,Off,---,---,---,---,
D20C,07:45:02,802,1,Off,---,---,---,---,
D20C,07:45:25,802,0,Off,---,---,---,---,
D20C,07:45:49,801,6,Off,---,---,---,---,
D20C,07:46:12,801,9,Off,---,---,---,---,
D20C,07:46:36,801,8,Off,---,---,---,---,
D20C,07:46:59,802,2,Off,---,---,---,---,
D20C,07:47:23,801,0,Off,---,---,---,---,
D20C,07:47:47,801,7,Off,---,---,---,---,
D20C,07:48:10,802,0,Off,---,---,---,---,
D20C,07:48:34,801,5,Off,---,---,---,---,
D20C,07:48:56,802,4,Off,---,---,---,---,
D20C,07:49:24,---,---,---,---,---,---,
D20C,07:49:45,802,1,Off,---,---,---,---,
D20C,07:50:09,801,9,Off,---,---,---,---,
D20C,07:50:31,---,Off,---,---,---,---,
D20C,07:50:55,802,0,Off,---,---,---,---,
D20C,07:51:20,801,2,Off,---,---,---,---,
D20C,07:51:44,801,2,Off,---,---,---,---,
D20C,07:52:07,801,7,Off,---,---,---,---,
D20C,07:52:31,802,2,Off,---,---,---,---,
D20C,07:52:54,801,7,Off,---,---,---,---,
D20C,07:53:18,801,7,Off,---,---,---,---,
D20C,07:53:42,801,2,Off,---,---,---,---,
D20C,07:54:05,801,7,Off,---,---,---,---,
D20C,07:54:29,801,6,Off,---,---,---,---,
D20C,07:54:52,801,8,Off,---,---,---,---,
D20C,07:55:16,801,2,Off,---,---,---,---,
D20C,07:55:40,803,5,Off,---,---,---,---,
D20C,07:56:03,800,6,Off,---,---,---,---,
D20C,07:56:27,801,6,Off,---,---,---,---,
D20C,07:56:50,801,4,Off,---,---,---,---,
D20C,07:57:14,801,5,Off,---,---,---,---,
D20C,07:57:37,801,8,Off,---,---,---,---,
D20C,07:58:01,801,7,Off,---,---,---,---,
D20C,07:58:24,801,9,Off,---,---,---,---,
D20C,07:58:47,802,4,Off,---,---,---,---,
D20C,07:59:11,800,9,Off,---,---,---,---,
D20C,07:59:34,802,3,Off,---,---,---,---,
D20C,07:59:58,804,6,Off,---,---,---,---,
D20C,08:00:22,802,0,Off,---,---,---,---,
D20C,08:00:45,801,6,Off,---,---,---,---,
D20C,08:01:09,801,9,Off,---,---,---,---,
D20C,08:01:32,798,5,Off,---,---,---,---,
D20C,08:02:00,---,---,---,---,---,---,
D20C,08:02:26,---,---,---,---,---,---,
D20C,08:02:53,---,---,---,---,---,---,
D20C,08:03:19,---,---,---,---,---,---,
D20C,08:03:40,---,---,---,---,---,---,
D20C,08:04:05,601,5,Off,---,---,---,---,
D20C,08:04:29,573,2,Off,---,---,---,---,
D20C,08:04:57,---,---,---,---,---,---,
D20C,08:05:18,511,3,Off,---,---,---,---,
D20C,08:05:41,480,6,Off,---,---,---,---,
D20C,08:06:06,---,On,---,---,---,---,
D20C,08:06:28,420,6,Off,---,---,---,---,
D20C,08:06:56,---,---,---,---,---,---,
D20C,08:07:17,358,5,Off,---,---,---,---,
D20C,08:07:42,324,6,Off,---,---,---,---,
D20C,08:08:05,291,2,Off,---,---,---,---,
D20C,08:08:29,261,5,Off,---,---,---,---,
D20C,08:08:53,237,7,Off,---,---,---,---,
D20C,08:09:18,219,4,Off,---,---,---,---,
D20C,08:09:43,203,2,Off,---,---,---,---,
D20C,08:10:06,187,4,Off,---,---,---,---,
D20C,08:10:30,169,4,Off,---,---,---,---,
D20C,08:10:53,156,0,Off,---,---,---,---,
D20C,08:11:17,143,2,Off,---,---,---,---,
D20C,08:11:42,141,6,Off,---,---,---,---,
D20C,08:12:10,140,6,Off,---,---,---,---,
D20C,08:12:38,126,2,Off,---,---,---,---,
D20C,08:13:06,105,9,Off,---,---,---,---,
D20C,08:13:34,105,9,Off,---,---,---,---,
D20C,08:14:02,81,0,Off,---,---,---,---,
D20C,08:14:30,60,5,Off,---,---,---,---,
D20C,08:14:58,63,6,Off,---,---,---,---,
D20C,08:15:31,---,---,---,---,---,---,
D20C,08:16:00,---,---,---,---,---,---,
D20C,08:16:25,54,0,Off,---,---,---,---,
D20C,08:16:57,---,---,---,---,---,---,
D20C,08:17:27,---,---,---,---,---,---,
D20C,08:17:51,40,4,Off,---,---,---,---,
D20C,08:18:24,---,---,---,---,---,---,
D20C,08:18:53,---,---,---,---,---,---,
D20C,08:19:23,---,---,---,---,---,---,
D20C,08:19:52,---,---,---,---,---,---,
