Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Capturas 1,07:27:37,---,---,---,---,---,---,
Capturas 1,07:28:00,1125,6,---,---,---,---,
Capturas 1,07:28:22,1126,0,---,---,---,---,
Capturas 1,07:28:45,---,---,---,---,---,---,
Capturas 1,07:29:07,1126,3,Off,---,---,---,
Capturas 1,07:29:29,1127,8,Off,---,---,---,
Capturas 1,07:29:52,1126,4,Off,---,---,---,
Capturas 1,07:30:15,1126,4,Off,---,---,---,
Capturas 1,07:30:38,1126,7,Off,---,---,---,
Capturas 1,07:31:03,1127,9,---,---,---,---,
Capturas 1,07:31:26,1125,4,---,---,---,---,
Capturas 1,07:31:50,1125,9,Off,---,---,---,
Capturas 1,07:32:14,1126,1,Off,---,---,---,
Capturas 1,07:32:39,---,---,---,---,---,---,
Capturas 1,07:33:01,1127,6,Off,---,---,---,
Capturas 1,07:33:27,1126,6,---,---,---,---,
Capturas 1,07:33:54,---,---,---,---,---,---,
Capturas 1,07:34:16,1124,5,Off,---,---,---,
Capturas 1,07:34:44,---,---,---,---,---,---,
Capturas 1,07:35:04,1127,2,Off,---,---,---,
Capturas 1,07:35:34,---,---,---,---,---,---,
Capturas 1,07:35:58,1127,3,Off,---,---,---,
Capturas 1,07:36:25,---,---,---,---,---,---,
Capturas 1,07:36:48,1127,1,Off,---,---,---,
Capturas 1,07:37:15,1127,7,Off,---,---,---,
Capturas 1,07:37:40,1127,0,---,---,---,---,
Capturas 1,07:38:05,---,---,---,---,---,---,
Capturas 1,07:38:29,---,---,---,---,---,---,
Capturas 1,07:38:57,---,---,---,---,---,---,
Capturas 1,07:39:21,1127,0,---,---,---,---,
Capturas 1,07:39:48,---,---,---,---,---,---,
Capturas 1,07:40:14,---,---,---,---,---,---,
Capturas 1,07:40:38,---,---,---,---,---,---,
Capturas 1,07:40:59,1129,3,---,---,---,---,
