Tiempo,Escalas(m),Datos1(Fa)
2019-11-28 08:13:57,663.5,26.4
2019-11-28 08:15:42,663.4,26.2
2019-11-28 08:16:36,663.4,26.1
2019-11-28 08:17:04,663.8,26.8
2019-11-28 08:17:57,663.4,26.4
2019-11-28 08:18:24,663.8,26.8
2019-11-28 08:18:50,653.1,25.5
2019-11-28 08:19:43,567.7,25.25
2019-11-28 08:20:35,482.9,25.0
2019-11-28 08:21:00,449.6,25.1
2019-11-28 08:21:25,417.2,25.0
2019-11-28 08:21:50,383.2,25.0
2019-11-28 08:22:15,351.6,24.8
