Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Capturas 1,08:05:50,---,---,---,---,---,---,
Capturas 1,08:06:19,---,---,---,---,---,---,
Capturas 1,08:06:49,---,---,---,---,---,---,
Capturas 1,08:07:18,---,---,---,---,---,---,
Capturas 1,08:07:47,---,---,---,---,---,---,
Capturas 1,08:08:17,---,---,---,---,---,---,
Capturas 1,08:08:46,---,---,---,---,---,---,
Capturas 1,08:09:16,---,---,---,---,---,---,
Capturas 1,08:09:45,---,---,---,---,---,---,
Capturas 1,08:10:14,---,---,---,---,---,---,
Capturas 1,08:10:44,---,---,---,---,---,---,
Capturas 1,08:11:13,---,---,---,---,---,---,
Capturas 1,08:11:38,276,2,Off,---,---,---,
Capturas 1,08:12:02,255,5,Off,---,---,---,
Capturas 1,08:12:25,234,9,Off,---,---,---,
Capturas 1,08:12:53,---,---,---,---,---,---,
Capturas 1,08:13:14,191,1,Off,---,---,---,
Capturas 1,08:13:38,178,0,Off,---,---,---,
Capturas 1,08:14:01,162,8,Off,---,---,---,
Capturas 1,08:14:26,153,2,Off,---,---,---,
Capturas 1,08:14:52,152,7,Off,---,---,---,
Capturas 1,08:15:24,---,---,---,---,---,---,
Capturas 1,08:15:53,---,---,---,---,---,---,
Capturas 1,08:16:18,143,3,Off,---,---,---,
Capturas 1,08:16:47,121,4,---,---,---,---,
Capturas 1,08:17:19,---,---,---,---,---,---,
Capturas 1,08:17:45,71,7,---,---,---,---,
Capturas 1,08:18:10,67,5,Off,---,---,---,
Capturas 1,08:18:36,70,0,Off,---,---,---,
Capturas 1,08:19:05,74,9,---,---,---,---,
Capturas 1,08:19:35,---,---,---,---,---,---,
Capturas 1,08:20:04,---,---,---,---,---,---,
Capturas 1,08:20:29,48,7,Off,---,---,---,
Capturas 1,08:20:57,47,8,Off,---,---,---,
Capturas 1,08:21:25,46,8,Off,---,---,---,
Capturas 1,08:21:53,34,9,Off,---,---,---,
Capturas 1,08:22:21,30,5,Off,---,---,---,
Capturas 1,08:22:49,29,0,Off,---,---,---,
Capturas 1,08:23:17,26,8,Off,---,---,---,
Capturas 1,08:23:45,21,4,Off,---,---,---,
Capturas 1,08:24:12,15,4,Off,---,---,---,
Capturas 1,08:24:40,12,5,Off,---,---,---,
Capturas 1,08:25:13,---,---,---,---,---,---,
Capturas 1,08:25:42,---,---,---,---,---,---,
Capturas 1,08:26:12,---,---,---,---,---,---,
Capturas 1,08:26:41,---,---,---,---,---,---,
Capturas 1,08:27:11,---,---,---,---,---,---,
Capturas 1,08:27:40,---,---,---,---,---,---,
Capturas 1,08:28:09,---,---,---,---,---,---,
Capturas 1,08:28:39,---,---,---,---,---,---,
Capturas 1,08:29:08,---,---,---,---,---,---,
Capturas 1,08:29:38,---,---,---,---,---,---,
Capturas 1,08:30:07,---,---,---,---,---,---,
Capturas 1,08:30:36,---,---,---,---,---,---,
Capturas 1,08:31:05,2481,6,---,---,---,---,
Capturas 1,08:31:35,---,---,---,---,---,---,
Capturas 1,08:32:04,---,---,---,---,---,---,
Capturas 1,08:32:33,---,---,---,---,---,---,
Capturas 1,08:33:03,---,---,---,---,---,---,
Capturas 1,08:33:32,---,---,---,---,---,---,
Capturas 1,08:34:02,---,---,---,---,---,---,
Capturas 1,08:34:31,---,---,---,---,---,---,
