Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Abertura,01:03:42,---,---,---,---,---,---,
Abertura,01:05:54,---,---,---,---,---,---,
Abertura,01:08:06,---,---,---,---,---,---,
Abertura,01:10:18,---,---,---,---,---,---,
Abertura,01:12:58,---,---,---,---,---,---,
Abertura,01:15:11,---,---,---,---,---,---,
Abertura,01:17:23,---,---,---,---,---,---,
Abertura,01:19:35,---,---,---,---,---,---,
Abertura,01:21:47,---,---,---,---,---,---,
Abertura,01:24:00,---,---,---,---,---,---,
Abertura,01:26:40,---,---,---,---,---,---,
Abertura,01:47:25,204,6,50,8,---,---,
Abertura,01:47:50,171,4,44,3,---,---,
Abertura,01:48:15,142,4,38,6,---,---,
Abertura,01:48:44,---,---,---,---,---,---,
Abertura,01:49:06,93,8,33,0,---,---,
Abertura,01:49:31,77,2,32,9,---,---,
Abertura,01:49:57,53,2,26,1,---,---,
Abertura,01:50:22,32,3,18,5,---,---,
Abertura,01:50:51,---,---,---,---,---,---,
Abertura,02:18:59,760,7,67,4,---,---,
Abertura,02:19:26,---,68,4,---,---,---,
Abertura,02:19:51,984,8,66,4,---,---,
Abertura,02:20:16,---,63,5,---,---,---,
Abertura,02:20:44,---,---,---,---,---,---,
Abertura,02:21:12,---,---,---,---,---,---,
Abertura,02:21:41,---,---,---,---,---,---,
Abertura,02:22:09,---,---,---,---,---,---,
Abertura,02:22:35,1735,7,72,5,---,---,
Abertura,02:23:05,---,---,---,---,---,---,
Abertura,02:23:32,---,---,---,---,---,---,
Abertura,02:24:01,---,---,---,---,---,---,
Abertura,02:24:31,---,---,---,---,---,---,
Abertura,02:24:56,1783,9,---,---,---,---,
Abertura,02:25:22,1783,9,---,---,---,---,
Abertura,02:25:48,1784,6,94,9,---,---,
Abertura,02:26:14,1784,8,---,---,---,---,
Abertura,02:26:40,1784,4,91,7,---,---,
Abertura,02:27:07,---,---,---,---,---,---,
Abertura,02:27:32,1784,3,88,7,---,---,
Abertura,02:27:57,1784,5,88,7,---,---,
Abertura,02:28:21,1784,0,86,9,---,---,
Abertura,02:28:45,1784,4,85,6,---,---,
Abertura,02:29:14,---,---,---,---,---,---,
Abertura,02:29:38,1783,6,84,5,---,---,
Abertura,02:30:04,1783,2,84,5,---,---,
Abertura,02:30:30,1783,2,83,7,---,---,
Abertura,02:30:54,1782,9,82,4,---,---,
Abertura,02:31:20,1782,9,82,9,---,---,
Abertura,02:31:45,1784,0,80,7,---,---,
Abertura,02:32:10,1783,9,82,4,---,---,
Abertura,02:32:36,1783,3,80,2,---,---,
Abertura,02:33:03,1783,7,79,6,---,---,
Abertura,02:33:29,1783,6,78,5,---,---,
Abertura,02:33:55,1784,0,76,9,---,---,
Abertura,02:34:21,1784,0,---,---,---,---,
Abertura,02:34:46,1784,0,80,8,---,---,
Abertura,02:35:15,---,---,---,---,---,---,
Abertura,02:35:43,---,---,---,---,---,---,
Abertura,02:36:11,---,---,---,---,---,---,
Abertura,02:36:40,---,---,---,---,---,---,
Abertura,02:37:10,---,---,---,---,---,---,
Abertura,02:37:39,---,---,---,---,---,---,
Abertura,02:38:08,---,---,---,---,---,---,
Abertura,02:38:38,---,---,---,---,---,---,
Abertura,02:39:05,1782,4,112,1,---,---,
Abertura,02:39:35,---,---,---,---,---,---,
Abertura,02:40:01,1783,1,114,8,---,---,
Abertura,02:40:31,---,---,---,---,---,---,
Abertura,02:41:00,---,---,---,---,---,---,
Abertura,02:41:28,1784,9,119,8,---,---,
Abertura,02:41:54,1785,1,117,8,---,---,
Abertura,02:42:19,1785,1,116,4,---,---,
Abertura,02:42:47,---,---,---,---,---,---,
Abertura,02:43:15,---,---,---,---,---,---,
Abertura,02:43:42,---,---,---,---,---,---,
Abertura,02:44:11,---,---,---,---,---,---,
Abertura,02:44:41,---,---,---,---,---,---,
Abertura,02:45:10,---,---,---,---,---,---,
Abertura,02:45:38,---,---,---,---,---,---,
Abertura,02:46:06,---,---,---,---,---,---,
Abertura,02:46:34,---,---,---,---,---,---,
Abertura,02:47:02,---,---,---,---,---,---,
Abertura,02:47:31,---,---,---,---,---,---,
Abertura,02:48:01,---,---,---,---,---,---,
Abertura,02:48:29,---,---,---,---,---,---,
Abertura,02:48:55,1787,0,112,7,---,---,
Abertura,02:49:25,---,---,---,---,---,---,
Abertura,02:49:53,---,---,---,---,---,---,
Abertura,02:50:21,---,---,---,---,---,---,
Abertura,02:50:50,---,---,---,---,---,---,
Abertura,02:51:18,---,---,---,---,---,---,
Abertura,02:51:47,---,---,---,---,---,---,
Abertura,02:52:15,---,---,---,---,---,---,
Abertura,02:52:43,---,---,---,---,---,---,
Abertura,02:53:11,1787,3,116,9,---,---,
Abertura,02:53:40,---,---,---,---,---,---,
Abertura,02:54:08,---,---,---,---,---,---,
Abertura,02:54:38,---,---,---,---,---,---,
Abertura,02:55:07,---,---,---,---,---,---,
Abertura,02:55:35,---,---,---,---,---,---,
Abertura,02:56:03,---,---,---,---,---,---,
Abertura,02:56:31,---,---,---,---,---,---,
Abertura,02:56:57,1786,6,116,9,---,---,
Abertura,02:57:25,---,---,---,---,---,---,
Abertura,02:57:55,---,---,---,---,---,---,
Abertura,02:58:24,---,---,---,---,---,---,
Abertura,02:58:54,---,---,---,---,---,---,
Abertura,02:59:22,---,---,---,---,---,---,
Abertura,02:59:50,---,---,---,---,---,---,
Abertura,03:00:17,---,---,---,---,---,---,
Abertura,03:00:45,---,---,---,---,---,---,
Abertura,03:01:15,---,---,---,---,---,---,
Abertura,03:01:42,---,---,---,---,---,---,
Abertura,03:02:11,---,---,---,---,---,---,
Abertura,03:02:39,---,---,---,---,---,---,
Abertura,03:03:08,---,---,---,---,---,---,
Abertura,03:03:38,---,---,---,---,---,---,
Abertura,03:04:05,---,---,---,---,---,---,
Abertura,03:04:33,---,---,---,---,---,---,
Abertura,03:05:02,---,---,---,---,---,---,
Abertura,03:05:32,---,---,---,---,---,---,
Abertura,03:06:01,---,---,---,---,---,---,
Abertura,03:06:29,---,---,---,---,---,---,
Abertura,03:06:57,---,---,---,---,---,---,
Abertura,03:07:24,---,---,---,---,---,---,
Abertura,03:07:52,---,---,---,---,---,---,
Abertura,03:08:20,---,---,---,---,---,---,
Abertura,03:08:48,---,---,---,---,---,---,
Abertura,03:09:16,---,---,---,---,---,---,
Abertura,03:09:44,---,---,---,---,---,---,
Abertura,03:10:12,---,---,---,---,---,---,
Abertura,03:10:40,---,---,---,---,---,---,
Abertura,03:11:09,---,---,---,---,---,---,
Abertura,03:11:37,---,---,---,---,---,---,
Abertura,03:12:03,1785,3,127,5,---,---,
Abertura,03:12:33,---,---,---,---,---,---,
Abertura,03:12:59,---,---,---,---,---,---,
Abertura,03:13:28,---,---,---,---,---,---,
Abertura,03:13:54,1785,8,---,---,---,---,
Abertura,03:14:19,1785,4,---,---,---,---,
Abertura,03:14:47,---,---,---,---,---,---,
Abertura,03:15:13,1785,5,---,---,---,---,
Abertura,03:15:42,---,---,---,---,---,---,
Abertura,03:16:10,---,---,---,---,---,---,
Abertura,03:16:37,1786,3,126,5,---,---,
Abertura,03:17:07,---,---,---,---,---,---,
Abertura,03:17:34,---,---,---,---,---,---,
Abertura,03:18:00,1786,0,128,0,---,---,
Abertura,03:18:28,---,---,---,---,---,---,
Abertura,03:18:56,---,---,---,---,---,---,
Abertura,03:19:23,---,---,---,---,---,---,
Abertura,03:19:49,---,---,---,---,---,---,
Abertura,03:20:14,1786,2,121,1,---,---,
Abertura,03:20:39,1787,2,120,4,---,---,
Abertura,03:21:07,---,---,---,---,---,---,
Abertura,03:21:34,---,---,---,---,---,---,
Abertura,03:21:58,1786,7,116,0,---,---,
Abertura,03:22:25,1786,3,114,4,---,---,
