[NOTUS TEXTFILE V3.3]
File Created: 26-nov-2019 16:17:27
Tow Date: 15-sep-2013 10:39:47


Transponder: C56S
Placement: Estribor

Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
C56S,11:52:32,626,4,22,9,---,---,---,---,
C56S,11:52:57,626,9,24,2,---,---,---,---,
C56S,11:53:24,626,9,22,9,---,---,---,---,
C56S,11:53:48,627,1,23,5,---,---,---,---,
C56S,11:54:13,626,9,22,9,---,---,---,---,
C56S,11:54:38,626,6,23,9,---,---,---,---,
C56S,11:55:03,626,9,23,2,---,---,---,---,
C56S,11:55:28,626,9,23,5,---,---,---,---,
C56S,11:55:51,626,9,23,1,---,---,---,---,
C56S,11:56:16,627,1,22,2,---,---,---,---,
C56S,11:56:41,627,1,23,6,---,---,---,---,
C56S,11:57:06,626,9,23,6,---,---,---,---,
C56S,11:57:31,627,1,22,7,---,---,---,---,
C56S,11:57:57,626,6,22,7,---,---,---,---,
C56S,11:58:22,626,5,23,4,---,---,---,---,
C56S,11:58:47,626,9,24,7,---,---,---,---,
C56S,11:59:13,626,0,24,3,---,---,---,---,
C56S,11:59:38,626,0,23,9,---,---,---,---,
C56S,12:00:03,626,1,23,7,---,---,---,---,
C56S,12:00:29,626,3,22,2,---,---,---,---,
C56S,12:00:54,626,7,23,2,---,---,---,---,
C56S,12:01:19,626,7,22,0,---,---,---,---,
C56S,12:01:44,626,4,23,2,---,---,---,---,
C56S,12:02:10,626,1,22,2,---,---,---,---,
C56S,12:02:35,626,3,22,1,---,---,---,---,
C56S,12:03:01,626,4,22,6,---,---,---,---,
C56S,12:03:26,626,8,---,---,---,---,---,
C56S,12:03:50,626,3,22,2,---,---,---,---,
C56S,12:04:16,626,0,24,1,---,---,---,---,
C56S,12:04:41,626,7,23,1,---,---,---,---,
C56S,12:05:07,626,7,22,3,---,---,---,---,
C56S,12:05:33,626,9,22,1,---,---,---,---,
C56S,12:05:58,626,4,22,9,---,---,---,---,
C56S,12:06:23,625,6,26,1,---,---,---,---,
C56S,12:06:48,---,---,---,---,---,---,
C56S,12:07:15,562,4,23,3,---,---,---,---,
C56S,12:07:46,---,---,---,---,---,---,
C56S,12:08:10,482,4,23,2,---,---,---,---,
C56S,12:08:37,451,8,22,7,---,---,---,---,
C56S,12:09:02,421,4,22,6,---,---,---,---,
C56S,12:09:27,392,0,22,1,---,---,---,---,
C56S,12:09:53,359,9,---,---,---,---,---,
C56S,12:10:20,326,7,---,---,---,---,---,
C56S,12:10:46,294,1,20,0,---,---,---,---,
C56S,12:11:11,261,7,16,7,---,---,---,---,
C56S,12:11:36,230,3,10,5,---,---,---,---,
C56S,12:12:01,198,1,8,1,---,---,---,---,
C56S,12:12:26,162,1,10,4,---,---,---,---,
C56S,12:12:51,128,5,12,0,---,---,---,---,
C56S,12:13:17,94,3,15,1,---,---,---,---,
C56S,12:13:42,63,3,14,1,---,---,---,---,
C56S,12:14:07,37,9,9,0,---,---,---,---,
C56S,12:14:32,23,7,5,3,---,---,---,---,
C56S,12:14:57,12,4,6,2,---,---,---,---,
C56S,12:15:28,---,---,---,---,---,---,
C56S,12:15:56,---,---,---,---,---,---,
C56S,12:16:24,---,---,---,---,---,---,
C56S,12:16:51,---,---,---,---,---,---,
C56S,12:17:19,---,---,---,---,---,---,
C56S,12:17:47,---,---,---,---,---,---,
C56S,12:18:15,---,---,---,---,---,---,
C56S,12:18:43,---,---,---,---,---,---,
C56S,12:19:11,---,---,---,---,---,---,
C56S,12:19:41,---,---,---,---,---,---,
C56S,12:20:09,---,---,---,---,---,---,
C56S,12:20:38,---,---,---,---,---,---,
C56S,12:21:03,236,4,---,---,---,---,---,
C56S,12:21:31,---,---,---,---,---,---,
C56S,12:21:59,---,---,---,---,---,---,
C56S,12:22:27,---,---,---,---,---,---,
C56S,12:22:52,---,---,---,---,---,---,
C56S,12:23:23,---,---,---,---,---,---,
C56S,12:23:51,---,---,---,---,---,---,
C56S,12:24:19,---,---,---,---,---,---,
C56S,12:24:47,---,---,---,---,---,---,
C56S,12:25:16,---,---,---,---,---,---,
C56S,12:25:44,---,---,---,---,---,---,
C56S,12:26:14,---,---,---,---,---,---,
C56S,12:26:43,---,---,---,---,---,---,
C56S,12:27:12,---,---,---,---,---,---,
C56S,12:27:42,---,---,---,---,---,---,
C56S,12:28:10,---,---,---,---,---,---,
C56S,12:28:39,---,---,---,---,---,---,
C56S,12:29:08,---,---,---,---,---,---,
C56S,12:29:38,---,---,---,---,---,---,
C56S,12:30:07,---,---,---,---,---,---,
C56S,12:30:37,---,---,---,---,---,---,
C56S,12:31:06,---,---,---,---,---,---,
C56S,12:31:35,---,---,---,---,---,---,
C56S,12:32:05,---,---,---,---,---,---,
C56S,12:32:34,---,---,---,---,---,---,
C56S,12:33:03,---,---,---,---,---,---,
C56S,12:33:33,---,---,---,---,---,---,
C56S,12:34:02,---,---,---,---,---,---,
C56S,12:34:32,---,---,---,---,---,---,
C56S,12:35:01,---,---,---,---,---,---,
C56S,12:35:30,---,---,---,---,---,---,
C56S,12:36:00,---,---,---,---,---,---,
C56S,12:36:28,---,---,---,---,---,---,
C56S,12:36:51,90,4,---,---,---,---,---,
C56S,12:37:19,---,---,---,---,---,---,
C56S,12:37:44,36,1,5,5,---,---,---,---,
C56S,12:38:11,---,6,3,---,---,---,---,
C56S,12:38:37,156,1,9,2,---,---,---,---,
C56S,12:39:04,---,7,9,---,---,---,---,
C56S,12:39:31,287,3,8,2,---,---,---,---,
C56S,12:40:01,---,---,---,---,---,---,
C56S,12:40:23,---,6,5,---,---,---,---,
C56S,12:40:55,---,---,---,---,---,---,
C56S,12:41:21,617,3,4,8,---,---,---,---,
C56S,12:41:47,---,7,7,---,---,---,---,
C56S,12:42:12,674,4,5,6,---,---,---,---,
C56S,12:42:38,673,6,5,4,---,---,---,---,
C56S,12:43:05,673,9,---,---,---,---,---,
C56S,12:43:30,673,2,---,---,---,---,---,
C56S,12:43:55,673,0,---,---,---,---,---,
C56S,12:44:20,673,5,---,---,---,---,---,
C56S,12:44:47,673,0,---,---,---,---,---,
C56S,12:45:12,672,9,---,---,---,---,---,
C56S,12:45:37,673,4,28,9,---,---,---,---,
C56S,12:46:02,673,2,29,4,---,---,---,---,
C56S,12:46:26,673,3,29,9,---,---,---,---,
C56S,12:46:51,672,9,30,2,---,---,---,---,
C56S,12:47:18,673,4,31,5,---,---,---,---,
C56S,12:47:43,673,3,31,1,---,---,---,---,
C56S,12:48:08,673,0,31,2,---,---,---,---,
C56S,12:48:35,673,1,31,0,---,---,---,---,
C56S,12:48:59,672,9,30,3,---,---,---,---,
C56S,12:49:24,672,6,30,2,---,---,---,---,
C56S,12:49:49,673,3,30,0,---,---,---,---,
C56S,12:50:16,672,5,30,3,---,---,---,---,
C56S,12:50:41,672,8,30,7,---,---,---,---,
C56S,12:51:07,673,2,30,5,---,---,---,---,
C56S,12:51:34,673,2,29,7,---,---,---,---,
C56S,12:51:59,673,0,30,4,---,---,---,---,
C56S,12:52:24,672,8,30,3,---,---,---,---,
C56S,12:52:50,672,8,30,7,---,---,---,---,
C56S,12:53:17,672,3,29,9,---,---,---,---,
C56S,12:53:42,672,7,30,1,---,---,---,---,
C56S,12:54:07,673,2,30,2,---,---,---,---,
C56S,12:54:34,673,1,29,9,---,---,---,---,
C56S,12:54:58,673,2,29,9,---,---,---,---,
C56S,12:55:23,673,2,30,1,---,---,---,---,
C56S,12:55:48,673,5,29,9,---,---,---,---,
C56S,12:56:13,673,5,30,1,---,---,---,---,
C56S,12:56:38,673,4,29,7,---,---,---,---,
C56S,12:57:03,673,3,29,6,---,---,---,---,
C56S,12:57:27,673,6,30,3,---,---,---,---,
C56S,12:57:52,673,4,30,6,---,---,---,---,
C56S,12:58:17,673,2,30,6,---,---,---,---,
C56S,12:58:42,673,6,30,4,---,---,---,---,
C56S,12:59:09,673,5,29,9,---,---,---,---,
C56S,12:59:34,673,6,30,0,---,---,---,---,
C56S,12:59:59,673,4,29,8,---,---,---,---,
C56S,13:00:24,673,5,28,6,---,---,---,---,
C56S,13:00:49,673,7,28,3,---,---,---,---,
C56S,13:01:14,674,2,28,5,---,---,---,---,
C56S,13:01:40,673,8,28,2,---,---,---,---,
C56S,13:02:06,674,0,28,1,---,---,---,---,
C56S,13:02:31,674,1,28,3,---,---,---,---,
C56S,13:02:56,674,1,28,5,---,---,---,---,
C56S,13:03:21,674,0,28,0,---,---,---,---,
C56S,13:03:47,674,2,27,3,---,---,---,---,
C56S,13:04:12,674,1,27,8,---,---,---,---,
C56S,13:04:38,674,2,28,2,---,---,---,---,
C56S,13:05:05,674,4,28,4,---,---,---,---,
C56S,13:05:30,674,0,28,2,---,---,---,---,
C56S,13:05:55,673,8,27,6,---,---,---,---,
