[NOTUS TEXTFILE V3.3]
File Created: 13-nov-2019 19:22:49
Tow Date: 14-sep-2011 2:28:20


Transponder: E48D
Placement: Estribor
Depth Calibration: 1500

Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
E48D,02:28:28,---,---,---,---,---,---,
E48D,03:48:27,1094,7,---,---,---,---,---,
E48D,03:48:51,1095,9,311,1,---,---,---,---,
E48D,03:49:14,1103,8,313,0,---,---,---,---,
E48D,03:49:38,1104,6,312,6,---,---,---,---,
E48D,03:50:02,1104,8,310,8,---,---,---,---,
E48D,03:50:25,1105,4,309,9,---,---,---,---,
E48D,03:50:49,1105,1,310,2,---,---,---,---,
E48D,03:51:12,1105,1,310,4,---,---,---,---,
E48D,03:51:36,1105,1,309,2,---,---,---,---,
E48D,03:52:00,1105,3,309,1,---,---,---,---,
E48D,03:52:23,1105,4,306,8,---,---,---,---,
E48D,03:52:47,1105,3,306,7,---,---,---,---,
E48D,03:53:11,1105,4,306,6,---,---,---,---,
E48D,03:53:34,1105,3,306,7,---,---,---,---,
E48D,03:53:58,1105,4,305,5,---,---,---,---,
E48D,03:54:22,1105,3,306,5,---,---,---,---,
E48D,03:54:45,1105,4,305,5,---,---,---,---,
E48D,03:55:09,1105,3,304,5,---,---,---,---,
E48D,03:55:32,1105,4,304,4,---,---,---,---,
E48D,03:55:56,1106,4,301,9,---,---,---,---,
E48D,03:56:20,1105,5,302,2,---,---,---,---,
E48D,03:56:43,1105,4,302,1,---,---,---,---,
E48D,03:57:07,1105,8,302,5,---,---,---,---,
E48D,03:57:31,1106,1,300,6,---,---,---,---,
E48D,03:57:54,1105,1,300,7,---,---,---,---,
E48D,03:58:18,1105,6,300,2,---,---,---,---,
E48D,03:58:42,1108,1,296,4,---,---,---,---,
E48D,03:59:05,1107,7,296,9,---,---,---,---,
E48D,03:59:29,1110,9,293,4,---,---,---,---,
E48D,03:59:52,1106,0,297,5,---,---,---,---,
E48D,04:00:16,1106,4,294,9,---,---,---,---,
E48D,04:00:40,1106,6,293,8,---,---,---,---,
E48D,04:01:03,1106,4,291,7,---,---,---,---,
E48D,04:01:27,1106,6,291,6,---,---,---,---,
E48D,04:01:51,1108,4,287,1,---,---,---,---,
