Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Capturas 1,07:37:17,832,5,Off,---,---,---,
Capturas 1,07:37:41,809,1,Off,---,---,---,
Capturas 1,07:38:06,787,1,---,---,---,---,
Capturas 1,07:38:27,765,9,Off,---,---,---,
Capturas 1,07:38:55,---,---,---,---,---,---,
Capturas 1,07:39:20,---,---,---,---,---,---,
Capturas 1,07:39:42,696,2,---,---,---,---,
Capturas 1,07:40:05,673,0,Off,---,---,---,
Capturas 1,07:40:33,---,---,---,---,---,---,
Capturas 1,07:40:54,630,9,Off,---,---,---,
Capturas 1,07:41:18,604,5,Off,---,---,---,
Capturas 1,07:41:42,582,2,---,---,---,---,
Capturas 1,07:42:04,558,8,Off,---,---,---,
Capturas 1,07:42:28,535,3,Off,---,---,---,
Capturas 1,07:42:51,511,6,Off,---,---,---,
Capturas 1,07:43:15,486,7,Off,---,---,---,
Capturas 1,07:43:40,460,4,Off,---,---,---,
Capturas 1,07:44:04,434,4,Off,---,---,---,
Capturas 1,07:44:28,409,2,---,---,---,---,
Capturas 1,07:44:50,386,8,Off,---,---,---,
Capturas 1,07:45:13,362,3,Off,---,---,---,
Capturas 1,07:45:37,338,6,Off,---,---,---,
Capturas 1,07:46:01,317,2,Off,---,---,---,
Capturas 1,07:46:24,298,7,Off,---,---,---,
Capturas 1,07:46:49,280,5,Off,---,---,---,
Capturas 1,07:47:14,264,0,---,---,---,---,
Capturas 1,07:47:36,246,7,On,---,---,---,
Capturas 1,07:48:00,224,9,Off,---,---,---,
Capturas 1,07:48:25,205,2,---,---,---,---,
Capturas 1,07:48:48,186,1,Off,---,---,---,
Capturas 1,07:49:11,171,0,Off,---,---,---,
Capturas 1,07:49:35,159,1,Off,---,---,---,
Capturas 1,07:49:59,149,3,Off,---,---,---,
Capturas 1,07:50:26,142,6,On,---,---,---,
Capturas 1,07:50:53,146,7,Off,---,---,---,
Capturas 1,07:51:21,139,4,Off,---,---,---,
Capturas 1,07:51:50,134,4,---,---,---,---,
Capturas 1,07:52:20,---,---,---,---,---,---,
Capturas 1,07:52:45,108,4,Off,---,---,---,
Capturas 1,07:53:18,---,---,---,---,---,---,
Capturas 1,07:53:47,---,---,---,---,---,---,
Capturas 1,07:54:16,---,---,---,---,---,---,
Capturas 1,07:54:46,---,---,---,---,---,---,
Capturas 1,07:55:15,---,---,---,---,---,---,
Capturas 1,07:55:44,---,---,---,---,---,---,
Capturas 1,07:56:14,---,---,---,---,---,---,
Capturas 1,07:56:43,---,---,---,---,---,---,
Capturas 1,07:57:13,---,---,---,---,---,---,
Capturas 1,07:57:42,---,---,---,---,---,---,
Capturas 1,07:58:11,---,---,---,---,---,---,
Capturas 1,07:58:41,---,---,---,---,---,---,
Capturas 1,07:59:05,13,2,Off,---,---,---,
Capturas 1,07:59:38,---,---,---,---,---,---,
Capturas 1,08:00:07,---,---,---,---,---,---,
Capturas 1,08:00:37,---,---,---,---,---,---,
Capturas 1,08:01:06,---,---,---,---,---,---,
Capturas 1,08:01:36,---,---,---,---,---,---,
Capturas 1,08:02:05,---,---,---,---,---,---,
Capturas 1,08:02:34,---,---,---,---,---,---,
Capturas 1,08:03:04,---,---,---,---,---,---,
Capturas 1,08:03:30,6,6,---,---,---,---,
Capturas 1,08:04:00,---,---,---,---,---,---,
Capturas 1,08:04:29,---,---,---,---,---,---,
Capturas 1,08:04:59,---,---,---,---,---,---,
Capturas 1,08:05:28,---,---,---,---,---,---,
Capturas 1,08:05:57,---,---,---,---,---,---,
Capturas 1,08:06:27,---,---,---,---,---,---,
Capturas 1,08:06:56,---,---,---,---,---,---,
Capturas 1,08:07:25,---,---,---,---,---,---,
Capturas 1,08:07:55,---,---,---,---,---,---,
Capturas 1,08:08:24,---,---,---,---,---,---,
Capturas 1,08:08:54,---,---,---,---,---,---,
Capturas 1,08:09:23,---,---,---,---,---,---,
Capturas 1,08:09:52,---,---,---,---,---,---,
Capturas 1,08:10:22,---,---,---,---,---,---,
Capturas 1,08:10:51,---,---,---,---,---,---,
Capturas 1,08:11:20,---,---,---,---,---,---,
Capturas 1,08:11:50,---,---,---,---,---,---,
Capturas 1,08:12:19,---,---,---,---,---,---,
Capturas 1,08:12:49,---,---,---,---,---,---,
Capturas 1,08:13:18,---,---,---,---,---,---,
Capturas 1,08:13:47,---,---,---,---,---,---,
Capturas 1,08:14:17,---,---,---,---,---,---,
Capturas 1,08:14:46,---,---,---,---,---,---,
Capturas 1,08:15:16,---,---,---,---,---,---,
Capturas 1,08:15:45,---,---,---,---,---,---,
Capturas 1,08:16:14,---,---,---,---,---,---,
Capturas 1,08:16:44,---,---,---,---,---,---,
Capturas 1,08:17:13,---,---,---,---,---,---,
Capturas 1,08:17:42,---,---,---,---,---,---,
Capturas 1,08:18:07,---,---,---,---,---,---,
Capturas 1,08:18:33,---,---,---,---,---,---,
Capturas 1,08:18:59,---,---,---,---,---,---,
Capturas 1,08:19:24,---,---,---,---,---,---,
Capturas 1,08:19:48,---,---,---,---,---,---,
Capturas 1,08:20:12,---,---,---,---,---,---,
Capturas 1,08:20:39,---,---,---,---,---,---,
Capturas 1,08:21:03,---,---,---,---,---,---,
Capturas 1,08:21:30,---,---,---,---,---,---,
Capturas 1,08:21:55,---,---,---,---,---,---,
Capturas 1,08:22:20,---,---,---,---,---,---,
Capturas 1,08:22:49,---,---,---,---,---,---,
Capturas 1,08:23:11,1008,4,Off,---,---,---,
Capturas 1,08:23:42,---,---,---,---,---,---,
Capturas 1,08:24:09,---,---,---,---,---,---,
Capturas 1,08:24:36,---,---,---,---,---,---,
Capturas 1,08:25:03,---,---,---,---,---,---,
