Code,Tiempo,Escalas(m),Datos1(°C),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Temperature,20:21:02,1696,4,10,5,---,---,
Starboard Temperature,20:21:39,1696,3,10,5,---,---,
Starboard Temperature,20:22:16,1696,2,10,5,---,---,
Starboard Temperature,20:22:53,1696,2,10,5,---,---,
Starboard Temperature,20:23:30,1696,3,10,5,---,---,
Starboard Temperature,20:24:07,1696,2,10,4,---,---,
Starboard Temperature,20:24:44,1696,4,10,4,---,---,
Starboard Temperature,20:25:21,1696,1,10,5,---,---,
Starboard Temperature,20:25:58,1696,3,10,5,---,---,
Starboard Temperature,20:26:35,1696,0,10,4,---,---,
Starboard Temperature,20:27:12,1696,1,10,5,---,---,
Starboard Temperature,20:27:49,1696,2,10,4,---,---,
Starboard Temperature,20:28:26,1696,0,10,4,---,---,
Starboard Temperature,20:29:03,1696,1,10,4,---,---,
Starboard Temperature,20:29:40,1695,9,10,5,---,---,
Starboard Temperature,20:30:19,---,---,---,---,---,---,
Starboard Temperature,20:30:55,1696,1,10,5,---,---,
Starboard Temperature,20:31:33,1696,2,10,4,---,---,
Starboard Temperature,20:32:10,1696,0,10,5,---,---,
Starboard Temperature,20:32:47,1696,3,10,4,---,---,
Starboard Temperature,20:33:24,1696,2,10,5,---,---,
Starboard Temperature,20:34:01,1695,9,10,4,---,---,
Starboard Temperature,20:34:38,1696,0,10,4,---,---,
Starboard Temperature,20:35:15,1696,5,10,4,---,---,
Starboard Temperature,20:35:52,1696,2,10,4,---,---,
Starboard Temperature,20:36:29,1696,4,10,5,---,---,
Starboard Temperature,20:37:06,1696,0,10,4,---,---,
Starboard Temperature,20:37:45,---,---,---,---,---,---,
Starboard Temperature,20:38:23,1695,9,10,5,---,---,
Starboard Temperature,20:39:00,1695,5,10,5,---,---,
Starboard Temperature,20:39:40,---,---,---,---,---,---,
Starboard Temperature,20:40:19,1695,4,---,---,---,---,
Starboard Temperature,20:40:56,1695,2,10,5,---,---,
Starboard Temperature,20:41:35,1695,5,---,---,---,---,
Starboard Temperature,20:42:16,---,---,---,---,---,---,
Starboard Temperature,20:42:55,---,---,---,---,---,---,
Starboard Temperature,20:43:34,1695,8,---,---,---,---,
Starboard Temperature,20:44:12,1695,9,10,4,---,---,
Starboard Temperature,20:44:49,1695,5,10,4,---,---,
Starboard Temperature,20:45:29,1695,9,10,4,---,---,
Starboard Temperature,20:46:07,1695,8,10,4,---,---,
Starboard Temperature,20:46:46,1696,1,10,4,---,---,
Starboard Temperature,20:47:23,1696,0,10,4,---,---,
Starboard Temperature,20:48:01,1695,7,10,4,---,---,
Starboard Temperature,20:48:41,1696,7,10,4,---,---,
Starboard Temperature,20:49:19,1695,9,10,4,---,---,
Starboard Temperature,20:50:00,---,---,---,---,---,---,
Starboard Temperature,20:50:37,1696,2,10,6,---,---,
Starboard Temperature,20:51:17,1696,1,10,4,---,---,
Starboard Temperature,20:51:57,1695,9,10,5,---,---,
Starboard Temperature,20:52:37,1696,6,10,5,---,---,
Starboard Temperature,20:53:14,1696,3,10,4,---,---,
Starboard Temperature,20:53:51,1697,0,10,3,---,---,
Starboard Temperature,20:54:31,---,---,---,---,---,---,
Starboard Temperature,20:55:11,1696,0,10,4,---,---,
Starboard Temperature,20:55:49,1696,0,10,3,---,---,
Starboard Temperature,20:56:26,1696,1,10,3,---,---,
Starboard Temperature,20:59:58,---,---,---,---,---,---,
Starboard Temperature,21:03:43,1695,4,---,---,---,---,
Starboard Temperature,21:08:27,---,---,---,---,---,---,
Starboard Temperature,21:12:41,---,---,---,---,---,---,
Starboard Temperature,21:17:49,1695,2,---,---,---,---,
Starboard Temperature,21:22:31,1695,2,10,2,---,---,
Starboard Temperature,21:28:08,1695,3,10,3,---,---,
Starboard Temperature,21:32:51,1694,7,---,---,---,---,
Starboard Temperature,21:37:06,1694,2,---,---,---,---,
