[NOTUS TEXTFILE V3.3]
File Created: 22-oct-2019 17:27:34
Tow Date: 25-ago-2013 5:04:58


Transponder: C56S
Placement: Estribor

Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
C56S,05:05:07,---,---,---,---,---,---,
C56S,05:05:31,---,---,---,---,---,---,
C56S,05:05:55,587,9,---,---,---,---,---,
C56S,06:05:22,589,1,23,6,---,---,---,---,
C56S,06:05:47,589,5,23,5,---,---,---,---,
C56S,06:06:10,589,4,24,2,---,---,---,---,
C56S,06:06:34,589,2,24,5,---,---,---,---,
C56S,06:06:57,589,5,24,8,---,---,---,---,
C56S,06:07:22,589,0,25,3,---,---,---,---,
C56S,06:07:46,589,1,24,2,---,---,---,---,
C56S,06:08:09,589,2,25,2,---,---,---,---,
C56S,06:08:33,589,2,24,6,---,---,---,---,
C56S,06:08:57,589,6,24,8,---,---,---,---,
C56S,06:09:22,588,7,25,1,---,---,---,---,
C56S,06:09:45,589,7,25,7,---,---,---,---,
C56S,06:10:09,591,5,24,6,---,---,---,---,
C56S,06:10:33,589,6,25,3,---,---,---,---,
C56S,06:10:56,590,1,25,3,---,---,---,---,
C56S,06:11:20,589,8,24,9,---,---,---,---,
C56S,06:11:43,589,2,25,3,---,---,---,---,
C56S,06:12:07,590,2,25,3,---,---,---,---,
C56S,06:12:31,589,6,24,7,---,---,---,---,
C56S,06:12:56,589,7,24,7,---,---,---,---,
C56S,06:13:18,589,9,24,7,---,---,---,---,
C56S,06:13:41,590,3,25,2,---,---,---,---,
C56S,06:14:05,590,0,24,2,---,---,---,---,
C56S,06:14:28,589,6,24,2,---,---,---,---,
C56S,06:14:52,589,5,24,5,---,---,---,---,
C56S,06:15:15,589,6,23,6,---,---,---,---,
C56S,06:15:38,590,2,23,8,---,---,---,---,
C56S,06:16:01,589,6,24,5,---,---,---,---,
C56S,06:16:26,589,6,25,1,---,---,---,---,
C56S,06:16:49,589,6,27,0,---,---,---,---,
C56S,06:17:13,589,4,24,4,---,---,---,---,
C56S,06:17:37,589,6,24,6,---,---,---,---,
C56S,06:17:59,589,4,24,5,---,---,---,---,
C56S,06:18:23,589,5,24,9,---,---,---,---,
C56S,06:18:47,589,4,24,6,---,---,---,---,
C56S,06:19:09,589,3,24,2,---,---,---,---,
C56S,06:19:33,589,3,24,1,---,---,---,---,
C56S,06:19:57,588,8,24,9,---,---,---,---,
C56S,06:20:20,589,2,24,0,---,---,---,---,
C56S,06:20:44,589,6,24,5,---,---,---,---,
C56S,06:21:07,589,2,24,3,---,---,---,---,
C56S,06:21:30,589,6,23,7,---,---,---,---,
C56S,06:21:54,589,2,24,6,---,---,---,---,
C56S,06:22:17,589,5,24,2,---,---,---,---,
C56S,06:22:40,589,4,23,9,---,---,---,---,
