,Tiempo,Escalas(m)Babor,Datos1(m)Babor,Escalas(m)Estribor,Datos1(Fa)Estribor,Escalas(m)Abertura Vertical,Datos1(m)Abertura Vertical,Escalas(m)Profundidad 1,Datos1(Fa)Profundidad 1
31,2019-11-14 04:36:00,1158.99,72.21000000000002,1110.65,227.86,1420.1090909090908,8.19090909090909,1153.275,249.8
32,2019-11-14 04:40:00,1162.69,66.955,1151.5300000000002,260.7,1454.16,5.71,1156.6222222222225,261.87777777777774
33,2019-11-14 04:44:00,1162.79,77.485,1162.0800000000004,273.75000000000006,1455.64,4.6,1156.89,274.71
34,2019-11-14 04:48:00,1162.6,79.36000000000001,1162.1727272727271,287.49999999999994,1450.7800000000002,4.409999999999998,1156.6,288.51
35,2019-11-14 04:52:00,1161.9444444444443,81.2222222222222,1161.9,297.19,1450.95,4.83,1156.31,298.6500000000001
36,2019-11-14 04:56:00,1161.8000000000004,80.05,1161.61,302.24,1451.5,4.71,1156.22,304.19
37,2019-11-14 05:00:00,1161.690909090909,78.52727272727272,1161.69,306.7600000000001,1453.17,4.69,1156.29,307.12
38,2019-11-14 05:04:00,1161.1999999999996,79.2,1161.98,308.67,1454.1999999999996,4.927272727272729,1156.4444444444443,308.1333333333334
39,2019-11-14 05:08:00,1161.44,79.71000000000002,1161.8399999999995,309.6,1453.7199999999998,4.82,1155.818181818182,309.96363636363634
40,2019-11-14 05:12:00,1161.6,79.52222222222224,1161.7000000000005,310.48,1454.14,4.73,1156.5625,308.9875
41,2019-11-14 05:16:00,1122.95,82.96666666666665,1115.4142857142856,311.3714285714285,1455.333333333333,4.895833333333333,1157.18,313.1
42,2019-11-14 05:20:00,817.5400000000002,86.22999999999998,754.1857142857143,313.7142857142857,873.8999999999999,9.5125,804.7833333333334,313.01666666666665
43,2019-11-14 05:24:00,1031.5285714285712,84.92857142857143,970.34,292.66,980.7571428571428,15.053571428571427,1032.611111111111,312.18888888888887
44,2019-11-14 05:28:00,1146.06,92.13,1057.83,261.24,1297.1166666666666,11.283333333333333,1142.14,295.4
45,2019-11-14 05:32:00,1157.0300000000002,83.16,1104.61,287.61,1411.16,7.24,1151.65,317.92999999999995
46,2019-11-14 05:36:00,1159.3636363636365,68.95,1139.988888888889,312.98333333333335,1440.3909090909092,6.0181818181818185,1153.67,322.3850000000001
47,2019-11-14 05:40:00,1161.21,74.39,1160.44,311.73,1458.0700000000004,4.670000000000001,1156.24,312.405
48,2019-11-14 05:44:00,1161.58,82.89000000000001,1161.58,305.37,1458.8800000000006,4.51,1155.7727272727273,308.7181818181818
49,2019-11-14 05:48:00,1160.8200000000004,81.16999999999999,1161.8727272727276,299.1909090909091,1460.59,4.25,1155.25,301.9600000000001
50,2019-11-14 05:52:00,1162.027272727273,84.11818181818181,1162.22,287.14,1466.74,4.64,1155.73,288.44
51,2019-11-14 05:56:00,1162.4,83.49,1163.0699999999995,274.15,1470.2800000000002,4.22,1157.111111111111,274.3222222222222
52,2019-11-14 06:00:00,1162.7499999999998,81.25,1163.41,265.64,1469.6272727272728,4.4363636363636365,1158.06,265.28000000000003
53,2019-11-14 06:04:00,1162.91,81.74,1163.73,256.0,1472.86,4.18,1157.2800000000002,255.91
54,2019-11-14 06:08:00,1164.3777777777775,85.4,1164.1555555555556,246.16666666666663,1475.4,3.9444444444444446,1157.8625,248.7875
55,2019-11-14 06:12:00,710.1,87.80000000000003,701.4666666666666,239.8,1054.7,9.2,662.725,243.075
56,2019-11-14 06:16:00,974.2428571428572,84.2,901.842857142857,217.11428571428573,982.7666666666668,12.766666666666666,1000.16,231.77
57,2019-11-14 06:20:00,1150.12,93.13,1059.0800000000004,191.95,1313.7333333333333,8.833333333333334,1144.9,226.40555555555562
58,2019-11-14 06:24:00,1160.4333333333334,74.75555555555556,1117.35,235.4,1426.033333333333,5.816666666666666,1154.03,250.19
59,2019-11-14 06:28:00,1162.29,77.475,1153.66,258.91,1454.9,5.118181818181818,1156.5090909090911,259.62272727272733
60,2019-11-14 06:32:00,1162.15,81.89500000000002,1161.7545454545455,268.9727272727273,1455.69,4.61,1156.63,269.51
61,2019-11-14 06:36:00,1162.2100000000005,83.10999999999999,1162.41,281.24999999999994,1452.56,3.98,1157.06,279.88
62,2019-11-14 06:40:00,1162.8090909090906,80.34545454545454,1162.18,293.62,1451.18,4.869999999999999,1156.39,294.9650000000001
63,2019-11-14 06:44:00,1161.8333333333335,78.06666666666666,1161.9500000000005,299.99,1452.5727272727274,4.827272727272726,1156.18,301.36
64,2019-11-14 06:48:00,1161.57,77.91,1161.7999999999995,303.75000000000006,1454.1700000000005,5.04,1156.06,304.5499999999999
65,2019-11-14 06:52:00,1161.4899999999998,77.98,1161.6699999999996,304.66,1455.72,5.46,1155.8363636363636,304.92727272727274
66,2019-11-14 06:56:00,1161.2800000000002,81.34,1161.3818181818185,305.87272727272733,1454.16,5.360000000000001,1155.65,307.84
67,2019-11-14 07:00:00,1160.9,82.99090909090908,1161.61,306.1,1455.56,4.95,1155.25,305.4
68,2019-11-14 07:04:00,1160.96,83.05000000000003,1161.54,308.5900000000001,1454.009090909091,4.636363636363637,1155.36,306.24
69,2019-11-14 07:08:00,908.775,84.55,971.02,308.8,1232.15,8.5,990.3666666666664,305.7
70,2019-11-14 07:12:00,903.1428571428572,77.52857142857144,830.1374999999998,305.5,816.6,21.136,872.9,305.78125
71,2019-11-14 07:16:00,1095.7777777777776,86.62222222222222,1010.9500000000003,268.04999999999995,1077.88,14.797333333333333,1096.3111111111114,290.01666666666665
72,2019-11-14 07:20:00,1151.87,90.9,1069.41,259.08,1379.9374999999998,8.341666666666667,1146.2333333333333,291.66666666666674
73,2019-11-14 07:24:00,1160.01,71.12000000000002,1126.609090909091,293.14545454545447,1433.93,6.540000000000001,1154.38,312.34500000000014
74,2019-11-14 07:28:00,1161.3818181818185,64.21818181818182,1156.98,314.0499999999999,1454.1300000000006,6.8000000000000025,1155.8,314.665
75,2019-11-14 07:32:00,1161.74,77.89999999999998,1161.7099999999996,309.38,1460.0000000000002,4.072727272727274,1155.94,309.98
76,2019-11-14 07:36:00,1162.04,80.91000000000003,1162.0099999999998,302.98,1461.16,4.41,1156.2454545454545,303.83636363636367
77,2019-11-14 07:40:00,1161.09,79.19,1162.32,296.25,1463.56,4.55,1155.36,296.7100000000001
78,2019-11-14 07:44:00,1161.32,84.97,1162.5272727272727,281.44545454545454,1468.611111111111,4.722222222222222,1155.63,282.36
79,2019-11-14 07:48:00,1162.6125,84.9875,1162.84,270.5,1469.2222222222224,4.288888888888889,1157.1625,269.45
80,2019-11-14 07:52:00,1162.8111111111114,82.9777777777778,1163.57,263.51000000000005,1469.4500000000005,4.14,1157.32,263.59000000000003
81,2019-11-14 07:56:00,1163.2500000000002,81.72999999999998,1164.1,252.81,1473.4777777777774,4.255555555555556,1157.9666666666667,253.11111111111111
82,2019-11-14 08:00:00,1163.27,87.23,1164.86,241.09,1475.35,4.2200000000000015,1159.06,241.73
