Code,Tiempo,Escalas(m),Datos1(°C),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Temperature,14:13:57,1550,2,10,8,---,---,
Starboard Temperature,14:14:34,1550,1,10,7,---,---,
Starboard Temperature,14:15:11,1550,9,10,7,---,---,
Starboard Temperature,14:15:48,1550,2,10,7,---,---,
Starboard Temperature,14:16:26,1550,4,10,7,---,---,
Starboard Temperature,14:17:03,1550,1,10,8,---,---,
Starboard Temperature,14:17:40,1550,2,10,8,---,---,
Starboard Temperature,14:18:17,1550,3,10,7,---,---,
Starboard Temperature,14:18:54,1550,2,10,8,---,---,
Starboard Temperature,14:19:31,1549,8,10,7,---,---,
Starboard Temperature,14:20:09,1550,2,10,8,---,---,
Starboard Temperature,14:20:46,1550,0,10,7,---,---,
Starboard Temperature,14:21:23,1550,6,10,7,---,---,
Starboard Temperature,14:22:01,1550,4,10,8,---,---,
Starboard Temperature,14:22:38,1550,4,10,7,---,---,
Starboard Temperature,14:23:15,1550,3,10,7,---,---,
Starboard Temperature,14:23:53,1550,1,10,7,---,---,
Starboard Temperature,14:24:30,1550,7,10,8,---,---,
Starboard Temperature,14:25:07,1550,1,10,8,---,---,
Starboard Temperature,14:25:44,1550,1,10,8,---,---,
Starboard Temperature,14:26:21,1550,2,10,8,---,---,
Starboard Temperature,14:26:58,1549,9,10,8,---,---,
Starboard Temperature,14:27:36,1550,0,10,8,---,---,
Starboard Temperature,14:28:13,1550,6,10,8,---,---,
Starboard Temperature,14:28:50,1550,1,10,7,---,---,
Starboard Temperature,14:29:27,1550,0,10,8,---,---,
Starboard Temperature,14:30:04,1549,9,10,7,---,---,
Starboard Temperature,14:30:41,1550,2,10,8,---,---,
Starboard Temperature,14:31:18,1550,1,10,8,---,---,
Starboard Temperature,14:31:55,1550,1,10,8,---,---,
Starboard Temperature,14:32:32,1550,6,10,7,---,---,
Starboard Temperature,14:33:09,1550,4,10,7,---,---,
Starboard Temperature,14:33:46,1550,3,10,8,---,---,
Starboard Temperature,14:34:23,1549,9,10,8,---,---,
Starboard Temperature,14:35:00,1550,6,10,8,---,---,
Starboard Temperature,14:35:38,1550,1,10,8,---,---,
Starboard Temperature,14:36:15,1550,0,10,8,---,---,
Starboard Temperature,14:36:52,1550,1,10,8,---,---,
Starboard Temperature,14:37:29,1550,1,10,8,---,---,
Starboard Temperature,14:38:06,1549,8,10,8,---,---,
Starboard Temperature,14:38:43,1550,1,10,7,---,---,
Starboard Temperature,14:39:20,1550,4,10,8,---,---,
Starboard Temperature,14:39:58,1549,9,10,7,---,---,
Starboard Temperature,14:40:35,1549,9,10,8,---,---,
Starboard Temperature,14:41:12,1549,7,10,8,---,---,
Starboard Temperature,14:41:49,1549,6,10,8,---,---,
Starboard Temperature,14:44:37,1548,7,10,7,---,---,
Starboard Temperature,14:48:25,1549,9,10,7,---,---,
Starboard Temperature,14:52:12,1549,6,10,8,---,---,
Starboard Temperature,14:56:00,1549,9,10,8,---,---,
Starboard Temperature,14:59:48,1549,8,10,7,---,---,
Starboard Temperature,15:03:35,1548,9,10,8,---,---,
Starboard Temperature,15:07:23,1549,4,10,8,---,---,
Starboard Temperature,15:11:11,1548,5,10,8,---,---,
Starboard Temperature,15:14:59,1549,0,10,8,---,---,
Starboard Temperature,15:18:46,1548,9,10,8,---,---,
Starboard Temperature,15:22:34,1548,9,10,8,---,---,
Starboard Temperature,15:26:22,1549,5,10,9,---,---,
Starboard Temperature,15:30:09,1549,3,10,9,---,---,
Starboard Temperature,15:33:57,1546,5,10,9,---,---,
Starboard Temperature,15:37:11,---,---,---,---,---,---,
Starboard Temperature,16:27:34,618,3,20,6,---,---,
Starboard Temperature,16:28:11,---,20,1,---,---,---,
Starboard Temperature,16:28:49,963,2,19,5,---,---,
Starboard Temperature,16:29:27,---,18,8,---,---,---,
Starboard Temperature,16:30:08,1436,6,---,---,---,---,
Starboard Temperature,16:30:48,1498,7,17,8,---,---,
Starboard Temperature,16:31:27,---,17,2,---,---,---,
Starboard Temperature,16:32:09,---,---,---,---,---,---,
Starboard Temperature,16:32:49,---,---,---,---,---,---,
Starboard Temperature,16:33:30,---,---,---,---,---,---,
Starboard Temperature,16:34:08,1595,2,15,8,---,---,
Starboard Temperature,16:34:48,1595,8,15,6,---,---,
Starboard Temperature,16:35:28,---,---,---,---,---,---,
Starboard Temperature,16:36:05,1596,4,15,2,---,---,
Starboard Temperature,16:36:43,1596,7,15,0,---,---,
Starboard Temperature,16:37:21,1596,7,14,8,---,---,
Starboard Temperature,16:38:00,1597,0,14,7,---,---,
Starboard Temperature,16:38:37,1596,4,14,5,---,---,
Starboard Temperature,16:39:17,1596,5,14,4,---,---,
Starboard Temperature,16:39:57,1596,3,14,3,---,---,
Starboard Temperature,16:40:38,1594,4,---,---,---,---,
Starboard Temperature,16:41:18,1592,3,13,9,---,---,
Starboard Temperature,16:42:01,1590,0,13,8,---,---,
Starboard Temperature,16:42:44,---,---,---,---,---,---,
Starboard Temperature,16:43:27,---,---,---,---,---,---,
Starboard Temperature,16:44:10,---,---,---,---,---,---,
Starboard Temperature,16:44:54,---,---,---,---,---,---,
Starboard Temperature,16:45:36,---,---,---,---,---,---,
Starboard Temperature,16:46:18,---,---,---,---,---,---,
Starboard Temperature,16:47:02,---,---,---,---,---,---,
Starboard Temperature,16:47:42,1592,0,12,8,---,---,
Starboard Temperature,16:48:26,---,---,---,---,---,---,
Starboard Temperature,16:49:06,1594,5,12,7,---,---,
Starboard Temperature,16:49:43,1594,6,12,8,---,---,
Starboard Temperature,16:50:21,1595,4,---,---,---,---,
Starboard Temperature,16:50:57,1595,6,12,7,---,---,
Starboard Temperature,16:51:34,1595,6,12,6,---,---,
Starboard Temperature,16:52:11,1595,9,12,6,---,---,
Starboard Temperature,16:52:48,1596,3,12,5,---,---,
Starboard Temperature,16:53:25,1596,6,---,---,---,---,
Starboard Temperature,16:54:04,1596,7,---,---,---,---,
Starboard Temperature,16:54:40,1597,0,12,4,---,---,
Starboard Temperature,16:55:19,1596,7,12,4,---,---,
Starboard Temperature,16:55:57,1597,2,12,4,---,---,
Starboard Temperature,16:56:35,1596,9,12,4,---,---,
Starboard Temperature,16:57:16,1596,6,12,3,---,---,
Starboard Temperature,16:57:56,1597,3,12,3,---,---,
Starboard Temperature,16:58:37,1596,7,---,---,---,---,
Starboard Temperature,16:59:13,1596,8,12,2,---,---,
Starboard Temperature,16:59:50,1597,8,12,2,---,---,
Starboard Temperature,17:00:30,1596,6,12,1,---,---,
Starboard Temperature,17:01:06,1596,8,12,1,---,---,
Starboard Temperature,17:01:43,1596,7,12,1,---,---,
Starboard Temperature,17:02:22,1596,9,12,0,---,---,
Starboard Temperature,17:03:02,---,---,---,---,---,---,
Starboard Temperature,17:03:38,1596,8,12,1,---,---,
Starboard Temperature,17:04:17,1596,8,---,---,---,---,
Starboard Temperature,17:04:56,---,---,---,---,---,---,
Starboard Temperature,17:05:34,1597,4,---,---,---,---,
Starboard Temperature,17:06:14,---,---,---,---,---,---,
Starboard Temperature,17:06:52,1597,3,---,---,---,---,
Starboard Temperature,17:07:30,---,---,---,---,---,---,
Starboard Temperature,17:08:09,1597,4,---,---,---,---,
Starboard Temperature,17:08:46,1597,4,11,9,---,---,
Starboard Temperature,17:09:27,---,---,---,---,---,---,
Starboard Temperature,17:10:04,1597,4,---,---,---,---,
Starboard Temperature,17:10:42,---,---,---,---,---,---,
Starboard Temperature,17:11:19,1596,8,11,7,---,---,
Starboard Temperature,17:11:57,---,-5,3,---,---,---,
Starboard Temperature,17:12:34,1597,4,11,8,---,---,
Starboard Temperature,17:13:12,1597,1,---,---,---,---,
Starboard Temperature,17:13:48,1597,2,11,8,---,---,
Starboard Temperature,17:14:25,1597,6,11,7,---,---,
Starboard Temperature,17:15:02,1597,0,11,7,---,---,
Starboard Temperature,17:15:39,1597,0,11,7,---,---,
Starboard Temperature,17:16:16,1597,2,11,6,---,---,
Starboard Temperature,17:16:53,1597,1,11,6,---,---,
Starboard Temperature,17:17:30,1597,5,11,5,---,---,
Starboard Temperature,17:18:07,1597,2,11,6,---,---,
Starboard Temperature,17:18:45,1597,1,11,6,---,---,
Starboard Temperature,17:19:22,1597,5,11,6,---,---,
Starboard Temperature,17:19:59,1598,1,11,7,---,---,
Starboard Temperature,17:20:36,1597,4,11,5,---,---,
Starboard Temperature,17:21:13,1597,6,11,5,---,---,
Starboard Temperature,17:21:50,1597,4,11,5,---,---,
Starboard Temperature,17:22:27,1597,6,11,4,---,---,
Starboard Temperature,17:23:04,1597,4,11,5,---,---,
Starboard Temperature,17:26:11,1597,9,11,4,---,---,
Starboard Temperature,17:29:59,1597,1,11,4,---,---,
Starboard Temperature,17:33:29,1596,9,---,---,---,---,
Starboard Temperature,17:36:41,1597,1,11,3,---,---,
Starboard Temperature,17:40:30,---,---,---,---,---,---,
Starboard Temperature,17:43:23,1597,0,11,3,---,---,
Starboard Temperature,17:46:52,1598,1,11,3,---,---,
Starboard Temperature,17:50:40,1597,1,11,3,---,---,
Starboard Temperature,17:54:28,1598,0,11,3,---,---,
Starboard Temperature,17:57:58,1596,5,11,2,---,---,
Starboard Temperature,18:01:45,1597,0,11,1,---,---,
Starboard Temperature,18:05:33,1597,4,11,2,---,---,
Starboard Temperature,18:09:03,1597,2,11,2,---,---,
Starboard Temperature,18:12:50,1597,8,11,1,---,---,
Starboard Temperature,18:16:20,1597,4,11,1,---,---,
Starboard Temperature,18:19:50,1597,4,11,1,---,---,
Starboard Temperature,18:23:20,1597,0,11,1,---,---,
Starboard Temperature,18:26:32,1598,0,11,2,---,---,
Starboard Temperature,18:30:20,1598,0,---,---,---,---,
Starboard Temperature,18:33:49,1597,5,11,1,---,---,
Starboard Temperature,18:37:37,1597,2,11,1,---,---,
Starboard Temperature,18:41:27,---,---,---,---,---,---,
Starboard Temperature,18:44:54,1597,4,11,0,---,---,
Starboard Temperature,18:48:42,1597,8,11,0,---,---,
Starboard Temperature,18:52:29,1597,2,11,0,---,---,
Starboard Temperature,18:56:17,1596,9,11,1,---,---,
Starboard Temperature,18:59:47,1596,7,11,0,---,---,
Starboard Temperature,19:02:58,1596,8,11,0,---,---,
Starboard Temperature,19:06:46,1597,1,11,0,---,---,
Starboard Temperature,19:10:34,1598,9,11,0,---,---,
Starboard Temperature,19:14:03,1598,2,11,0,---,---,
Starboard Temperature,19:17:51,1598,8,11,1,---,---,
Starboard Temperature,19:21:39,1598,2,11,1,---,---,
Starboard Temperature,19:25:26,1598,0,11,1,---,---,
Starboard Temperature,19:29:16,---,---,---,---,---,---,
Starboard Temperature,19:32:45,1598,1,---,---,---,---,
Starboard Temperature,19:35:38,1597,0,11,0,---,---,
Starboard Temperature,19:38:52,---,---,---,---,---,---,
Starboard Temperature,19:41:47,---,---,---,---,---,---,
Starboard Temperature,19:44:05,---,---,---,---,---,---,
Starboard Temperature,19:46:22,1597,1,---,---,---,---,
Starboard Temperature,19:49:00,---,---,---,---,---,---,
Starboard Temperature,19:51:35,1597,8,11,1,---,---,
Starboard Temperature,19:54:31,---,---,---,---,---,---,
Starboard Temperature,19:57:25,---,---,---,---,---,---,
Starboard Temperature,20:00:17,1598,0,11,1,---,---,
Starboard Temperature,20:04:07,---,---,---,---,---,---,
Starboard Temperature,20:07:35,1598,0,11,1,---,---,
Starboard Temperature,20:11:22,1597,7,11,1,---,---,
Starboard Temperature,20:15:10,1598,2,11,2,---,---,
Starboard Temperature,20:18:57,1597,8,11,2,---,---,
Starboard Temperature,20:22:45,1597,1,11,2,---,---,
Starboard Temperature,20:26:33,1597,1,11,3,---,---,
Starboard Temperature,20:30:23,---,---,---,---,---,---,
Starboard Temperature,20:33:53,---,---,---,---,---,---,
Starboard Temperature,20:37:01,306,2,-3,7,---,---,
Starboard Temperature,20:40:32,---,11,3,---,---,---,
Starboard Temperature,20:44:02,1596,8,11,2,---,---,
Starboard Temperature,20:47:50,1596,5,11,3,---,---,
Starboard Temperature,20:51:39,---,---,---,---,---,---,
Starboard Temperature,20:55:07,1596,1,11,5,---,---,
Starboard Temperature,20:58:19,1595,7,11,3,---,---,
Starboard Temperature,21:02:09,---,---,---,---,---,---,
Starboard Temperature,21:05:18,1595,6,11,3,---,---,
Starboard Temperature,21:09:06,1596,1,11,3,---,---,
Starboard Temperature,21:12:54,1596,6,11,3,---,---,
Starboard Temperature,21:16:41,1596,8,11,3,---,---,
Starboard Temperature,21:20:29,1596,6,11,3,---,---,
Starboard Temperature,21:24:17,1596,5,11,3,---,---,
Starboard Temperature,21:28:04,1597,2,11,3,---,---,
Starboard Temperature,21:31:52,1597,5,11,3,---,---,
Starboard Temperature,21:35:39,1597,4,11,3,---,---,
Starboard Temperature,21:39:27,1598,1,11,3,---,---,
Starboard Temperature,21:43:14,1597,8,11,3,---,---,
Starboard Temperature,21:47:02,1597,1,11,2,---,---,
Starboard Temperature,21:50:50,1596,1,11,2,---,---,
Starboard Temperature,21:54:37,1595,9,11,3,---,---,
Starboard Temperature,21:58:25,1597,2,11,3,---,---,
Starboard Temperature,22:02:12,1596,6,11,2,---,---,
Starboard Temperature,22:06:00,1596,9,11,3,---,---,
Starboard Temperature,22:09:47,1597,3,11,3,---,---,
Starboard Temperature,22:13:35,1597,8,11,3,---,---,
Starboard Temperature,22:17:25,---,---,---,---,---,---,
Starboard Temperature,22:20:52,1598,2,11,4,---,---,
Starboard Temperature,22:24:40,1598,2,11,4,---,---,
Starboard Temperature,22:28:27,1598,4,11,4,---,---,
Starboard Temperature,22:32:15,1597,8,11,4,---,---,
Starboard Temperature,22:36:03,1598,6,11,4,---,---,
Starboard Temperature,22:39:50,1598,9,11,4,---,---,
Starboard Temperature,22:43:20,1598,0,11,4,---,---,
Starboard Temperature,23:45:30,1607,5,-3,8,---,---,
Starboard Temperature,23:46:09,---,13,8,---,---,---,
Starboard Temperature,23:46:49,---,---,---,---,---,---,
Starboard Temperature,23:47:25,1492,0,13,6,---,---,
Starboard Temperature,23:48:03,1492,6,13,5,---,---,
Starboard Temperature,23:48:40,1493,7,13,4,---,---,
Starboard Temperature,23:49:17,1494,1,13,3,---,---,
Starboard Temperature,23:49:57,1496,9,13,1,---,---,
Starboard Temperature,23:50:35,1495,6,13,1,---,---,
Starboard Temperature,23:51:12,1497,1,13,1,---,---,
Starboard Temperature,23:51:49,1498,0,13,1,---,---,
Starboard Temperature,23:52:26,1498,3,13,0,---,---,
Starboard Temperature,23:53:03,1498,9,12,9,---,---,
Starboard Temperature,23:53:40,1499,7,12,9,---,---,
Starboard Temperature,23:54:17,1499,2,12,8,---,---,
Starboard Temperature,23:54:54,1499,6,12,8,---,---,
Starboard Temperature,23:55:31,1499,7,12,8,---,---,
Starboard Temperature,23:56:08,1499,9,---,---,---,---,
Starboard Temperature,23:56:45,1500,0,12,6,---,---,
Starboard Temperature,23:57:19,1500,2,12,8,---,---,
Starboard Temperature,23:57:55,1500,3,12,5,---,---,
Starboard Temperature,23:58:30,1499,6,1,2,---,---,
Starboard Temperature,23:59:06,1500,2,12,5,---,---,
Starboard Temperature,23:59:41,1499,2,12,4,---,---,
Starboard Temperature,00:00:20,1499,8,12,4,---,---,
Starboard Temperature,00:00:56,1499,6,12,5,---,---,
Starboard Temperature,00:01:31,1499,8,12,4,---,---,
Starboard Temperature,00:02:08,1499,5,12,3,---,---,
Starboard Temperature,00:02:44,1499,3,12,3,---,---,
Starboard Temperature,00:03:25,1498,3,---,---,---,---,
Starboard Temperature,00:04:02,1499,4,12,5,---,---,
Starboard Temperature,00:04:40,1499,1,---,---,---,---,
Starboard Temperature,00:05:18,1498,9,12,3,---,---,
Starboard Temperature,00:05:54,1500,1,12,2,---,---,
Starboard Temperature,00:06:33,1498,2,---,---,---,---,
Starboard Temperature,00:07:12,1498,2,12,2,---,---,
Starboard Temperature,00:07:50,1498,3,12,2,---,---,
Starboard Temperature,00:08:26,1498,1,12,2,---,---,
Starboard Temperature,00:09:03,1498,2,12,1,---,---,
Starboard Temperature,00:09:42,1498,5,12,2,---,---,
Starboard Temperature,00:10:20,---,39,7,---,---,---,
Starboard Temperature,00:10:58,796,2,40,0,---,---,
Starboard Temperature,00:11:33,---,-2,5,---,---,---,
Starboard Temperature,00:12:13,1440,7,---,---,---,---,
Starboard Temperature,00:12:52,1498,9,12,1,---,---,
Starboard Temperature,00:13:27,---,12,1,---,---,---,
Starboard Temperature,00:14:05,1598,9,39,6,---,---,
Starboard Temperature,00:14:42,---,12,0,---,---,---,
Starboard Temperature,00:15:19,1498,2,12,0,---,---,
Starboard Temperature,00:15:56,1498,7,12,1,---,---,
Starboard Temperature,00:16:31,1498,6,12,0,---,---,
Starboard Temperature,00:17:08,---,0,8,---,---,---,
Starboard Temperature,00:17:45,1498,9,12,0,---,---,
Starboard Temperature,00:18:24,1498,8,---,---,---,---,
Starboard Temperature,00:19:01,1499,7,11,8,---,---,
Starboard Temperature,00:19:40,1498,2,11,9,---,---,
Starboard Temperature,00:20:18,1499,2,11,9,---,---,
Starboard Temperature,00:20:57,1498,9,12,0,---,---,
Starboard Temperature,00:21:33,1498,5,11,9,---,---,
Starboard Temperature,00:22:12,1498,8,---,---,---,---,
Starboard Temperature,00:22:49,1498,8,11,9,---,---,
Starboard Temperature,00:23:27,1499,8,---,---,---,---,
Starboard Temperature,00:24:05,---,---,---,---,---,---,
Starboard Temperature,00:24:42,1499,2,11,8,---,---,
Starboard Temperature,00:25:18,1499,5,11,8,---,---,
