Tiempo,Escalas(m)Babor,Datos1(°)Babor,Escalas(m)Estribor,Datos1(°)Estribor,Escalas(m)Abertura,Datos1(m)Abertura
2019-11-27 02:28:00,1513.0639344262295,42.68736842105263,1556.7016129032259,2.5274193548387096,1521.4274725274724,112.08791208791209
2019-11-27 02:32:00,1504.3207650273225,42.58684210526316,1548.97311827957,2.709677419354839,1512.274175824176,111.53736263736263
2019-11-27 02:36:00,1495.5775956284153,42.486315789473686,1541.244623655914,2.8919354838709674,1503.1208791208792,110.9868131868132
2019-11-27 02:40:00,1486.8344262295082,42.38578947368421,1533.516129032258,3.074193548387097,1493.9675824175824,110.43626373626374
2019-11-27 02:44:00,1478.0912568306012,42.28526315789474,1525.7876344086021,3.256451612903226,1484.8142857142857,109.88571428571429
2019-11-27 02:48:00,1469.348087431694,42.184736842105266,1518.0591397849462,3.4387096774193546,1475.660989010989,109.33516483516483
2019-11-27 02:52:00,1460.6049180327868,42.08421052631579,1510.3306451612902,3.620967741935484,1466.5076923076922,108.78461538461539
2019-11-27 02:56:00,1451.8617486338799,41.98368421052632,1502.6021505376343,3.8032258064516133,1457.3543956043957,108.23406593406594
2019-11-27 03:00:00,1443.1185792349727,41.88315789473684,1494.8736559139784,3.985483870967742,1448.201098901099,107.68351648351648
2019-11-27 03:04:00,1434.3754098360655,41.78263157894737,1487.1451612903227,4.167741935483871,1439.0478021978022,107.13296703296703
2019-11-27 03:08:00,1425.6322404371585,41.682105263157894,1479.4166666666667,4.35,1429.8945054945054,106.58241758241758
2019-11-27 03:12:00,1416.8890710382514,41.58157894736842,1471.6881720430108,4.532258064516129,1420.741208791209,106.03186813186814
2019-11-27 03:16:00,1408.1459016393444,41.48105263157895,1463.9596774193549,4.714516129032258,1411.5879120879122,105.48131868131868
2019-11-27 03:20:00,1399.4027322404372,41.380526315789474,1456.231182795699,4.896774193548387,1402.4346153846154,104.93076923076923
2019-11-27 03:24:00,1390.65956284153,41.28,1448.502688172043,5.079032258064516,1393.2813186813187,104.38021978021979
2019-11-27 03:28:00,1381.916393442623,41.17947368421053,1440.774193548387,5.261290322580645,1384.128021978022,103.82967032967034
2019-11-27 03:32:00,1373.173224043716,41.078947368421055,1433.0456989247311,5.443548387096774,1374.9747252747252,103.27912087912088
2019-11-27 03:36:00,1364.430054644809,40.97842105263158,1425.3172043010752,5.625806451612903,1365.8214285714284,102.72857142857143
2019-11-27 03:40:00,1355.6868852459017,40.87789473684211,1417.5887096774193,5.808064516129032,1356.668131868132,102.17802197802197
2019-11-27 03:44:00,1346.9437158469946,40.777368421052635,1409.8602150537636,5.990322580645161,1347.5148351648352,101.62747252747252
2019-11-27 03:48:00,1338.2005464480876,40.67684210526316,1402.1317204301076,6.172580645161291,1338.3615384615384,101.07692307692308
2019-11-27 03:52:00,1329.4573770491804,40.57631578947368,1394.4032258064517,6.354838709677419,1329.208241758242,100.52637362637363
2019-11-27 03:56:00,1320.7142076502732,40.47578947368421,1386.6747311827958,6.537096774193548,1320.0549450549452,99.97582417582417
2019-11-27 04:00:00,1311.9710382513663,40.375263157894736,1378.9462365591398,6.719354838709678,1310.9016483516484,99.42527472527473
2019-11-27 04:04:00,1303.227868852459,40.27473684210526,1371.217741935484,6.901612903225806,1301.7483516483517,98.87472527472528
2019-11-27 04:08:00,1294.484699453552,40.17421052631579,1363.489247311828,7.083870967741935,1292.595054945055,98.32417582417582
2019-11-27 04:12:00,1285.741530054645,40.07368421052632,1355.760752688172,7.266129032258065,1283.4417582417582,97.77362637362637
2019-11-27 04:16:00,1276.9983606557378,39.97315789473684,1348.032258064516,7.448387096774193,1274.2884615384614,97.22307692307692
