Tiempo,Escalas(m)Babor,Datos1(°)Babor,Escalas(m)Cabecera altura,Datos1(m)Cabecera altura,Escalas(m)Estribor,Datos1(°)Estribor,Escalas(m)Alineamiento de Estribor,Datos1(m)Alineamiento de Estribor,Escalas(m)Abertura,Datos1(m)Abertura,Escalas(m)Starboard Temperature,Datos1(°C)Starboard Temperature
2019-11-27 07:00:00,1721.9168750000001,-9.669140625,,,1499.9019197207679,-0.6143106457242584,1721.9446874999999,0.5603125,1721.4273437499999,123.43421875,1721.87421875,10.44921875
2019-11-27 07:04:00,1721.6837500000001,-9.640364583333334,,,1496.8931937172774,-0.6219895287958116,1721.7143749999998,0.5622916666666666,1721.2005208333333,123.59760416666667,1721.6442708333334,10.449826388888889
2019-11-27 07:08:00,1721.450625,-9.611588541666666,,,1493.884467713787,-0.6296684118673648,1721.4840625,0.5642708333333334,1720.9736979166667,123.76098958333333,1721.4143229166668,10.450434027777778
2019-11-27 07:12:00,1721.2175,-9.5828125,,,1490.8757417102966,-0.6373472949389181,1721.2537499999999,0.56625,1720.746875,123.924375,1721.184375,10.451041666666667
2019-11-27 07:16:00,1720.984375,-9.554036458333332,,,1487.8670157068063,-0.6450261780104712,1721.0234375,0.5682291666666667,1720.5200520833332,124.08776041666667,1720.9544270833335,10.451649305555556
2019-11-27 07:20:00,1720.75125,-9.525260416666667,,,1484.858289703316,-0.6527050610820245,1720.793125,0.5702083333333334,1720.2932291666666,124.25114583333334,1720.7244791666667,10.452256944444445
2019-11-27 07:24:00,1720.518125,-9.496484375,,,1481.8495636998255,-0.6603839441535777,1720.5628124999998,0.5721875000000001,1720.06640625,124.41453125,1720.4945312500001,10.452864583333334
2019-11-27 07:28:00,1720.285,-9.467708333333334,,,1478.840837696335,-0.668062827225131,1720.3325,0.5741666666666667,1719.8395833333334,124.57791666666667,1720.2645833333333,10.453472222222222
2019-11-27 07:32:00,1720.051875,-9.438932291666667,,,1475.8321116928446,-0.6757417102966842,1720.1021875,0.5761458333333334,1719.6127604166666,124.74130208333334,1720.0346354166668,10.454079861111111
2019-11-27 07:36:00,1719.8187500000001,-9.41015625,,,1472.8233856893544,-0.6834205933682375,1719.8718749999998,0.578125,1719.3859375,124.9046875,1719.8046875,10.4546875
2019-11-27 07:40:00,1719.5856250000002,-9.381380208333333,,,1469.8146596858637,-0.6910994764397906,1719.6415625,0.5801041666666666,1719.1591145833333,125.06807291666667,1719.5747395833334,10.45529513888889
2019-11-27 07:44:00,1719.3525,-9.352604166666666,,,1466.8059336823735,-0.6987783595113439,1719.4112499999999,0.5820833333333334,1718.9322916666667,125.23145833333334,1719.3447916666667,10.455902777777778
2019-11-27 07:48:00,1719.119375,-9.323828125,,,1463.797207678883,-0.7064572425828971,1719.1809374999998,0.5840625,1718.70546875,125.39484374999999,1719.11484375,10.456510416666667
2019-11-27 07:52:00,1718.88625,-9.295052083333333,,,1460.7884816753926,-0.7141361256544504,1718.950625,0.5860416666666667,1718.4786458333333,125.55822916666666,1718.8848958333333,10.457118055555556
2019-11-27 07:56:00,1718.653125,-9.266276041666666,,,1457.7797556719022,-0.7218150087260036,1718.7203124999999,0.5880208333333334,1718.2518229166667,125.72161458333333,1718.6549479166667,10.457725694444445
2019-11-27 08:00:00,1718.42,-9.2375,,,1454.7710296684118,-0.7294938917975569,1718.4899999999998,0.5900000000000001,1718.025,125.88499999999999,1718.4250000000002,10.458333333333334
2019-11-27 08:04:00,1718.186875,-9.208723958333334,,,1451.7623036649215,-0.73717277486911,1718.2596875,0.5919791666666667,1717.7981770833333,126.04838541666666,1718.1950520833334,10.458940972222223
2019-11-27 08:08:00,1717.9537500000001,-9.179947916666666,,,1448.753577661431,-0.7448516579406632,1718.0293749999998,0.5939583333333334,1717.5713541666667,126.21177083333333,1717.9651041666668,10.459548611111112
2019-11-27 08:12:00,1717.7206250000002,-9.151171875,,,1445.7448516579407,-0.7525305410122165,1717.7990625,0.5959375,1717.34453125,126.37515625,1717.73515625,10.46015625
2019-11-27 08:16:00,1717.4875000000002,-9.122395833333332,,,1442.7361256544502,-0.7602094240837697,1717.56875,0.5979166666666667,1717.1177083333332,126.53854166666666,1717.5052083333335,10.46076388888889
2019-11-27 08:20:00,1717.254375,-9.093619791666667,,,1439.7273996509598,-0.767888307155323,1717.3384374999998,0.5998958333333334,1716.8908854166666,126.70192708333333,1717.2752604166667,10.461371527777779
2019-11-27 08:24:00,1717.02125,-9.06484375,,,1436.7186736474694,-0.7755671902268761,1717.108125,0.601875,1716.6640625,126.8653125,1717.0453125000001,10.461979166666667
